;time;token;event;position
0;2022-01-20 12:58:07.615000+00:00;j7dOQ94SDIxgZX+3;scroll;0
1;2022-01-20 12:58:46.109000+00:00;j7dOQ94SDIxgZX+3;scroll;1
2;2022-01-20 12:58:46.120000+00:00;j7dOQ94SDIxgZX+3;scroll;4
3;2022-01-20 12:58:46.137000+00:00;j7dOQ94SDIxgZX+3;scroll;13
4;2022-01-20 12:58:46.153000+00:00;j7dOQ94SDIxgZX+3;scroll;34
5;2022-01-20 12:58:46.170000+00:00;j7dOQ94SDIxgZX+3;scroll;61
6;2022-01-20 12:58:46.187000+00:00;j7dOQ94SDIxgZX+3;scroll;116
7;2022-01-20 12:58:46.203000+00:00;j7dOQ94SDIxgZX+3;scroll;185
8;2022-01-20 12:58:46.220000+00:00;j7dOQ94SDIxgZX+3;scroll;286
9;2022-01-20 12:58:46.237000+00:00;j7dOQ94SDIxgZX+3;scroll;371
10;2022-01-20 12:58:46.253000+00:00;j7dOQ94SDIxgZX+3;scroll;440
11;2022-01-20 12:58:46.269000+00:00;j7dOQ94SDIxgZX+3;scroll;489
12;2022-01-20 12:58:46.287000+00:00;j7dOQ94SDIxgZX+3;scroll;510
13;2022-01-20 12:58:50.224000+00:00;j7dOQ94SDIxgZX+3;scroll;512
14;2022-01-20 12:58:50.240000+00:00;j7dOQ94SDIxgZX+3;scroll;526
15;2022-01-20 12:58:50.258000+00:00;j7dOQ94SDIxgZX+3;scroll;579
16;2022-01-20 12:58:50.274000+00:00;j7dOQ94SDIxgZX+3;scroll;753
17;2022-01-20 12:58:50.291000+00:00;j7dOQ94SDIxgZX+3;scroll;942
18;2022-01-20 12:58:50.307000+00:00;j7dOQ94SDIxgZX+3;scroll;1088
19;2022-01-20 12:58:50.324000+00:00;j7dOQ94SDIxgZX+3;scroll;1189
20;2022-01-20 12:58:50.341000+00:00;j7dOQ94SDIxgZX+3;scroll;1224
21;2022-01-20 12:58:50.574000+00:00;j7dOQ94SDIxgZX+3;scroll;1230
22;2022-01-20 12:58:50.590000+00:00;j7dOQ94SDIxgZX+3;scroll;1254
23;2022-01-20 12:58:50.607000+00:00;j7dOQ94SDIxgZX+3;scroll;1442
24;2022-01-20 12:58:50.641000+00:00;j7dOQ94SDIxgZX+3;scroll;1612
25;2022-01-20 12:58:50.658000+00:00;j7dOQ94SDIxgZX+3;scroll;1742
26;2022-01-20 12:58:50.674000+00:00;j7dOQ94SDIxgZX+3;scroll;1822
27;2022-01-20 12:58:50.691000+00:00;j7dOQ94SDIxgZX+3;scroll;1836
28;2022-01-20 12:58:50.875000+00:00;j7dOQ94SDIxgZX+3;scroll;1837
29;2022-01-20 12:58:50.891000+00:00;j7dOQ94SDIxgZX+3;scroll;1845
30;2022-01-20 12:58:50.908000+00:00;j7dOQ94SDIxgZX+3;scroll;1881
31;2022-01-20 12:58:50.925000+00:00;j7dOQ94SDIxgZX+3;scroll;1992
32;2022-01-20 12:58:50.942000+00:00;j7dOQ94SDIxgZX+3;scroll;2152
33;2022-01-20 12:58:50.958000+00:00;j7dOQ94SDIxgZX+3;scroll;2277
34;2022-01-20 12:58:50.975000+00:00;j7dOQ94SDIxgZX+3;scroll;2343
35;2022-01-20 12:58:50.991000+00:00;j7dOQ94SDIxgZX+3;scroll;2351
36;2022-01-20 12:58:51.008000+00:00;j7dOQ94SDIxgZX+3;scroll;2355
37;2022-01-20 12:58:51.024000+00:00;j7dOQ94SDIxgZX+3;scroll;2357
38;2022-01-20 12:58:51.942000+00:00;j7dOQ94SDIxgZX+3;scroll;2347
39;2022-01-20 12:58:51.959000+00:00;j7dOQ94SDIxgZX+3;scroll;2291
40;2022-01-20 12:58:51.975000+00:00;j7dOQ94SDIxgZX+3;scroll;2123
41;2022-01-20 12:58:51.992000+00:00;j7dOQ94SDIxgZX+3;scroll;1935
42;2022-01-20 12:58:52.009000+00:00;j7dOQ94SDIxgZX+3;scroll;1787
43;2022-01-20 12:58:52.026000+00:00;j7dOQ94SDIxgZX+3;scroll;1683
44;2022-01-20 12:58:52.043000+00:00;j7dOQ94SDIxgZX+3;scroll;1608
45;2022-01-20 12:58:52.059000+00:00;j7dOQ94SDIxgZX+3;scroll;1557
46;2022-01-20 12:58:52.075000+00:00;j7dOQ94SDIxgZX+3;scroll;1541
47;2022-01-20 12:58:52.335000+00:00;j7dOQ94SDIxgZX+3;scroll;1538
48;2022-01-20 12:58:52.343000+00:00;j7dOQ94SDIxgZX+3;scroll;1535
49;2022-01-20 12:58:52.360000+00:00;j7dOQ94SDIxgZX+3;scroll;1526
50;2022-01-20 12:58:52.376000+00:00;j7dOQ94SDIxgZX+3;scroll;1514
51;2022-01-20 12:58:52.393000+00:00;j7dOQ94SDIxgZX+3;scroll;1502
52;2022-01-20 12:58:52.410000+00:00;j7dOQ94SDIxgZX+3;scroll;1487
53;2022-01-20 12:58:52.426000+00:00;j7dOQ94SDIxgZX+3;scroll;1467
54;2022-01-20 12:58:52.443000+00:00;j7dOQ94SDIxgZX+3;scroll;1418
55;2022-01-20 12:58:52.460000+00:00;j7dOQ94SDIxgZX+3;scroll;1372
56;2022-01-20 12:58:52.476000+00:00;j7dOQ94SDIxgZX+3;scroll;1316
57;2022-01-20 12:58:52.493000+00:00;j7dOQ94SDIxgZX+3;scroll;1256
58;2022-01-20 12:58:52.509000+00:00;j7dOQ94SDIxgZX+3;scroll;1204
59;2022-01-20 12:58:52.526000+00:00;j7dOQ94SDIxgZX+3;scroll;1164
60;2022-01-20 12:58:52.543000+00:00;j7dOQ94SDIxgZX+3;scroll;1139
61;2022-01-20 12:58:52.560000+00:00;j7dOQ94SDIxgZX+3;scroll;1133
62;2022-01-20 12:58:52.861000+00:00;j7dOQ94SDIxgZX+3;scroll;1132
63;2022-01-20 12:58:52.877000+00:00;j7dOQ94SDIxgZX+3;scroll;1126
64;2022-01-20 12:58:52.893000+00:00;j7dOQ94SDIxgZX+3;scroll;1116
65;2022-01-20 12:58:52.910000+00:00;j7dOQ94SDIxgZX+3;scroll;1104
66;2022-01-20 12:58:52.927000+00:00;j7dOQ94SDIxgZX+3;scroll;1078
67;2022-01-20 12:58:52.943000+00:00;j7dOQ94SDIxgZX+3;scroll;1051
68;2022-01-20 12:58:52.960000+00:00;j7dOQ94SDIxgZX+3;scroll;1025
69;2022-01-20 12:58:52.977000+00:00;j7dOQ94SDIxgZX+3;scroll;1000
70;2022-01-20 12:58:52.994000+00:00;j7dOQ94SDIxgZX+3;scroll;977
71;2022-01-20 12:58:53.010000+00:00;j7dOQ94SDIxgZX+3;scroll;958
72;2022-01-20 12:58:53.027000+00:00;j7dOQ94SDIxgZX+3;scroll;938
73;2022-01-20 12:58:53.044000+00:00;j7dOQ94SDIxgZX+3;scroll;919
74;2022-01-20 12:58:53.060000+00:00;j7dOQ94SDIxgZX+3;scroll;900
75;2022-01-20 12:58:53.077000+00:00;j7dOQ94SDIxgZX+3;scroll;869
