;time;token;event;position
0;2022-01-20 12:59:27.877000+00:00;kLXmq12lngg9D+co;scroll;0
1;2022-01-20 13:00:03.247000+00:00;kLXmq12lngg9D+co;scroll;4
2;2022-01-20 13:00:03.262000+00:00;kLXmq12lngg9D+co;scroll;12
3;2022-01-20 13:00:03.279000+00:00;kLXmq12lngg9D+co;scroll;34
4;2022-01-20 13:00:03.296000+00:00;kLXmq12lngg9D+co;scroll;93
5;2022-01-20 13:00:03.313000+00:00;kLXmq12lngg9D+co;scroll;176
6;2022-01-20 13:00:03.330000+00:00;kLXmq12lngg9D+co;scroll;300
7;2022-01-20 13:00:03.346000+00:00;kLXmq12lngg9D+co;scroll;429
8;2022-01-20 13:00:03.362000+00:00;kLXmq12lngg9D+co;scroll;510
9;2022-01-20 13:00:03.379000+00:00;kLXmq12lngg9D+co;scroll;570
10;2022-01-20 13:00:03.396000+00:00;kLXmq12lngg9D+co;scroll;607
11;2022-01-20 13:00:03.413000+00:00;kLXmq12lngg9D+co;scroll;612
12;2022-01-20 13:00:33.711000+00:00;kLXmq12lngg9D+co;scroll;615
13;2022-01-20 13:00:33.727000+00:00;kLXmq12lngg9D+co;scroll;622
14;2022-01-20 13:00:33.743000+00:00;kLXmq12lngg9D+co;scroll;633
15;2022-01-20 13:00:33.760000+00:00;kLXmq12lngg9D+co;scroll;645
16;2022-01-20 13:00:33.777000+00:00;kLXmq12lngg9D+co;scroll;658
17;2022-01-20 13:00:33.793000+00:00;kLXmq12lngg9D+co;scroll;670
18;2022-01-20 13:00:33.809000+00:00;kLXmq12lngg9D+co;scroll;682
19;2022-01-20 13:00:33.826000+00:00;kLXmq12lngg9D+co;scroll;692
20;2022-01-20 13:00:33.842000+00:00;kLXmq12lngg9D+co;scroll;701
21;2022-01-20 13:00:33.859000+00:00;kLXmq12lngg9D+co;scroll;708
22;2022-01-20 13:00:33.876000+00:00;kLXmq12lngg9D+co;scroll;712
23;2022-01-20 13:00:33.893000+00:00;kLXmq12lngg9D+co;scroll;714
24;2022-01-20 13:00:34.377000+00:00;kLXmq12lngg9D+co;scroll;715
25;2022-01-20 13:00:34.393000+00:00;kLXmq12lngg9D+co;scroll;722
26;2022-01-20 13:00:34.410000+00:00;kLXmq12lngg9D+co;scroll;732
27;2022-01-20 13:00:34.426000+00:00;kLXmq12lngg9D+co;scroll;743
28;2022-01-20 13:00:34.443000+00:00;kLXmq12lngg9D+co;scroll;756
29;2022-01-20 13:00:34.460000+00:00;kLXmq12lngg9D+co;scroll;769
30;2022-01-20 13:00:34.477000+00:00;kLXmq12lngg9D+co;scroll;781
31;2022-01-20 13:00:34.493000+00:00;kLXmq12lngg9D+co;scroll;792
32;2022-01-20 13:00:34.510000+00:00;kLXmq12lngg9D+co;scroll;801
33;2022-01-20 13:00:34.527000+00:00;kLXmq12lngg9D+co;scroll;808
34;2022-01-20 13:00:34.543000+00:00;kLXmq12lngg9D+co;scroll;813
35;2022-01-20 13:00:34.560000+00:00;kLXmq12lngg9D+co;scroll;816
36;2022-01-20 13:01:14.095000+00:00;kLXmq12lngg9D+co;scroll;817
37;2022-01-20 13:01:14.100000+00:00;kLXmq12lngg9D+co;scroll;818
38;2022-01-20 13:01:14.116000+00:00;kLXmq12lngg9D+co;scroll;826
39;2022-01-20 13:01:14.133000+00:00;kLXmq12lngg9D+co;scroll;836
40;2022-01-20 13:01:14.150000+00:00;kLXmq12lngg9D+co;scroll;848
41;2022-01-20 13:01:14.166000+00:00;kLXmq12lngg9D+co;scroll;861
42;2022-01-20 13:01:14.182000+00:00;kLXmq12lngg9D+co;scroll;873
43;2022-01-20 13:01:14.199000+00:00;kLXmq12lngg9D+co;scroll;885
44;2022-01-20 13:01:14.216000+00:00;kLXmq12lngg9D+co;scroll;896
45;2022-01-20 13:01:14.233000+00:00;kLXmq12lngg9D+co;scroll;905
46;2022-01-20 13:01:14.249000+00:00;kLXmq12lngg9D+co;scroll;912
47;2022-01-20 13:01:14.283000+00:00;kLXmq12lngg9D+co;scroll;916
48;2022-01-20 13:01:14.300000+00:00;kLXmq12lngg9D+co;scroll;918
49;2022-01-20 13:01:32.425000+00:00;kLXmq12lngg9D+co;scroll;919
50;2022-01-20 13:01:32.434000+00:00;kLXmq12lngg9D+co;scroll;923
51;2022-01-20 13:01:32.451000+00:00;kLXmq12lngg9D+co;scroll;932
52;2022-01-20 13:01:32.467000+00:00;kLXmq12lngg9D+co;scroll;943
53;2022-01-20 13:01:32.484000+00:00;kLXmq12lngg9D+co;scroll;955
54;2022-01-20 13:01:32.501000+00:00;kLXmq12lngg9D+co;scroll;969
55;2022-01-20 13:01:32.517000+00:00;kLXmq12lngg9D+co;scroll;989
56;2022-01-20 13:01:32.534000+00:00;kLXmq12lngg9D+co;scroll;1015
57;2022-01-20 13:01:32.551000+00:00;kLXmq12lngg9D+co;scroll;1052
58;2022-01-20 13:01:32.567000+00:00;kLXmq12lngg9D+co;scroll;1091
59;2022-01-20 13:01:32.584000+00:00;kLXmq12lngg9D+co;scroll;1129
60;2022-01-20 13:01:32.601000+00:00;kLXmq12lngg9D+co;scroll;1162
61;2022-01-20 13:01:32.617000+00:00;kLXmq12lngg9D+co;scroll;1190
62;2022-01-20 13:01:32.634000+00:00;kLXmq12lngg9D+co;scroll;1211
63;2022-01-20 13:01:32.651000+00:00;kLXmq12lngg9D+co;scroll;1222
64;2022-01-20 13:01:32.668000+00:00;kLXmq12lngg9D+co;scroll;1224
65;2022-01-20 13:02:10.050000+00:00;kLXmq12lngg9D+co;scroll;1226
66;2022-01-20 13:02:10.055000+00:00;kLXmq12lngg9D+co;scroll;1227
67;2022-01-20 13:02:10.071000+00:00;kLXmq12lngg9D+co;scroll;1235
68;2022-01-20 13:02:10.088000+00:00;kLXmq12lngg9D+co;scroll;1246
69;2022-01-20 13:02:10.104000+00:00;kLXmq12lngg9D+co;scroll;1258
70;2022-01-20 13:02:10.121000+00:00;kLXmq12lngg9D+co;scroll;1270
71;2022-01-20 13:02:10.138000+00:00;kLXmq12lngg9D+co;scroll;1283
72;2022-01-20 13:02:10.155000+00:00;kLXmq12lngg9D+co;scroll;1295
73;2022-01-20 13:02:10.171000+00:00;kLXmq12lngg9D+co;scroll;1305
74;2022-01-20 13:02:10.188000+00:00;kLXmq12lngg9D+co;scroll;1314
75;2022-01-20 13:02:10.205000+00:00;kLXmq12lngg9D+co;scroll;1320
76;2022-01-20 13:02:10.238000+00:00;kLXmq12lngg9D+co;scroll;1324
77;2022-01-20 13:02:10.255000+00:00;kLXmq12lngg9D+co;scroll;1326
78;2022-01-20 13:02:10.305000+00:00;kLXmq12lngg9D+co;scroll;1329
79;2022-01-20 13:02:10.322000+00:00;kLXmq12lngg9D+co;scroll;1337
80;2022-01-20 13:02:10.338000+00:00;kLXmq12lngg9D+co;scroll;1348
81;2022-01-20 13:02:10.371000+00:00;kLXmq12lngg9D+co;scroll;1360
82;2022-01-20 13:02:10.389000+00:00;kLXmq12lngg9D+co;scroll;1373
83;2022-01-20 13:02:10.405000+00:00;kLXmq12lngg9D+co;scroll;1385
84;2022-01-20 13:02:10.422000+00:00;kLXmq12lngg9D+co;scroll;1397
85;2022-01-20 13:02:10.438000+00:00;kLXmq12lngg9D+co;scroll;1407
86;2022-01-20 13:02:10.455000+00:00;kLXmq12lngg9D+co;scroll;1416
87;2022-01-20 13:02:10.472000+00:00;kLXmq12lngg9D+co;scroll;1422
88;2022-01-20 13:02:10.488000+00:00;kLXmq12lngg9D+co;scroll;1427
89;2022-01-20 13:02:10.505000+00:00;kLXmq12lngg9D+co;scroll;1428
90;2022-01-20 13:02:29.426000+00:00;kLXmq12lngg9D+co;scroll;1426
91;2022-01-20 13:02:29.441000+00:00;kLXmq12lngg9D+co;scroll;1420
92;2022-01-20 13:02:29.457000+00:00;kLXmq12lngg9D+co;scroll;1410
93;2022-01-20 13:02:29.474000+00:00;kLXmq12lngg9D+co;scroll;1395
94;2022-01-20 13:02:29.491000+00:00;kLXmq12lngg9D+co;scroll;1371
95;2022-01-20 13:02:29.507000+00:00;kLXmq12lngg9D+co;scroll;1345
96;2022-01-20 13:02:29.523000+00:00;kLXmq12lngg9D+co;scroll;1318
97;2022-01-20 13:02:29.541000+00:00;kLXmq12lngg9D+co;scroll;1293
98;2022-01-20 13:02:29.557000+00:00;kLXmq12lngg9D+co;scroll;1271
99;2022-01-20 13:02:29.574000+00:00;kLXmq12lngg9D+co;scroll;1252
100;2022-01-20 13:02:29.591000+00:00;kLXmq12lngg9D+co;scroll;1237
101;2022-01-20 13:02:29.607000+00:00;kLXmq12lngg9D+co;scroll;1228
102;2022-01-20 13:02:29.624000+00:00;kLXmq12lngg9D+co;scroll;1224
103;2022-01-20 13:02:29.640000+00:00;kLXmq12lngg9D+co;scroll;1223
104;2022-01-20 13:02:29.657000+00:00;kLXmq12lngg9D+co;scroll;1217
105;2022-01-20 13:02:29.674000+00:00;kLXmq12lngg9D+co;scroll;1208
106;2022-01-20 13:02:29.690000+00:00;kLXmq12lngg9D+co;scroll;1196
107;2022-01-20 13:02:29.708000+00:00;kLXmq12lngg9D+co;scroll;1183
108;2022-01-20 13:02:29.724000+00:00;kLXmq12lngg9D+co;scroll;1171
109;2022-01-20 13:02:29.741000+00:00;kLXmq12lngg9D+co;scroll;1150
110;2022-01-20 13:02:29.757000+00:00;kLXmq12lngg9D+co;scroll;1130
111;2022-01-20 13:02:29.774000+00:00;kLXmq12lngg9D+co;scroll;1111
112;2022-01-20 13:02:29.791000+00:00;kLXmq12lngg9D+co;scroll;1093
113;2022-01-20 13:02:29.808000+00:00;kLXmq12lngg9D+co;scroll;1076
114;2022-01-20 13:02:29.824000+00:00;kLXmq12lngg9D+co;scroll;1061
115;2022-01-20 13:02:29.841000+00:00;kLXmq12lngg9D+co;scroll;1047
116;2022-01-20 13:02:29.857000+00:00;kLXmq12lngg9D+co;scroll;1036
117;2022-01-20 13:02:29.874000+00:00;kLXmq12lngg9D+co;scroll;1028
118;2022-01-20 13:02:29.891000+00:00;kLXmq12lngg9D+co;scroll;1022
119;2022-01-20 13:02:29.908000+00:00;kLXmq12lngg9D+co;scroll;1020
120;2022-01-20 13:02:40.702000+00:00;kLXmq12lngg9D+co;scroll;1014
121;2022-01-20 13:02:40.718000+00:00;kLXmq12lngg9D+co;scroll;1005
122;2022-01-20 13:02:40.735000+00:00;kLXmq12lngg9D+co;scroll;994
123;2022-01-20 13:02:40.751000+00:00;kLXmq12lngg9D+co;scroll;969
124;2022-01-20 13:02:40.769000+00:00;kLXmq12lngg9D+co;scroll;943
125;2022-01-20 13:02:40.785000+00:00;kLXmq12lngg9D+co;scroll;916
126;2022-01-20 13:02:40.802000+00:00;kLXmq12lngg9D+co;scroll;891
127;2022-01-20 13:02:40.818000+00:00;kLXmq12lngg9D+co;scroll;868
128;2022-01-20 13:02:40.835000+00:00;kLXmq12lngg9D+co;scroll;844
129;2022-01-20 13:02:40.852000+00:00;kLXmq12lngg9D+co;scroll;821
130;2022-01-20 13:02:40.868000+00:00;kLXmq12lngg9D+co;scroll;798
131;2022-01-20 13:02:40.885000+00:00;kLXmq12lngg9D+co;scroll;778
132;2022-01-20 13:02:40.903000+00:00;kLXmq12lngg9D+co;scroll;759
133;2022-01-20 13:02:40.918000+00:00;kLXmq12lngg9D+co;scroll;743
134;2022-01-20 13:02:40.935000+00:00;kLXmq12lngg9D+co;scroll;730
135;2022-01-20 13:02:40.951000+00:00;kLXmq12lngg9D+co;scroll;721
136;2022-01-20 13:02:40.968000+00:00;kLXmq12lngg9D+co;scroll;715
137;2022-01-20 13:02:40.985000+00:00;kLXmq12lngg9D+co;scroll;714
138;2022-01-20 13:02:41.435000+00:00;kLXmq12lngg9D+co;scroll;715
139;2022-01-20 13:02:41.452000+00:00;kLXmq12lngg9D+co;scroll;720
140;2022-01-20 13:02:41.469000+00:00;kLXmq12lngg9D+co;scroll;730
141;2022-01-20 13:02:41.486000+00:00;kLXmq12lngg9D+co;scroll;743
142;2022-01-20 13:02:41.502000+00:00;kLXmq12lngg9D+co;scroll;766
143;2022-01-20 13:02:41.519000+00:00;kLXmq12lngg9D+co;scroll;799
144;2022-01-20 13:02:41.535000+00:00;kLXmq12lngg9D+co;scroll;847
145;2022-01-20 13:02:41.552000+00:00;kLXmq12lngg9D+co;scroll;896
146;2022-01-20 13:02:41.569000+00:00;kLXmq12lngg9D+co;scroll;956
147;2022-01-20 13:02:41.586000+00:00;kLXmq12lngg9D+co;scroll;1019
148;2022-01-20 13:02:41.602000+00:00;kLXmq12lngg9D+co;scroll;1072
149;2022-01-20 13:02:41.619000+00:00;kLXmq12lngg9D+co;scroll;1108
150;2022-01-20 13:02:41.635000+00:00;kLXmq12lngg9D+co;scroll;1122
151;2022-01-20 13:02:42.023000+00:00;kLXmq12lngg9D+co;scroll;1125
152;2022-01-20 13:02:42.036000+00:00;kLXmq12lngg9D+co;scroll;1131
153;2022-01-20 13:02:42.052000+00:00;kLXmq12lngg9D+co;scroll;1141
154;2022-01-20 13:02:42.070000+00:00;kLXmq12lngg9D+co;scroll;1158
155;2022-01-20 13:02:42.086000+00:00;kLXmq12lngg9D+co;scroll;1183
156;2022-01-20 13:02:42.103000+00:00;kLXmq12lngg9D+co;scroll;1223
157;2022-01-20 13:02:42.120000+00:00;kLXmq12lngg9D+co;scroll;1272
158;2022-01-20 13:02:42.136000+00:00;kLXmq12lngg9D+co;scroll;1320
159;2022-01-20 13:02:42.153000+00:00;kLXmq12lngg9D+co;scroll;1385
160;2022-01-20 13:02:42.170000+00:00;kLXmq12lngg9D+co;scroll;1445
161;2022-01-20 13:02:42.186000+00:00;kLXmq12lngg9D+co;scroll;1493
162;2022-01-20 13:02:42.203000+00:00;kLXmq12lngg9D+co;scroll;1523
163;2022-01-20 13:02:42.220000+00:00;kLXmq12lngg9D+co;scroll;1530
164;2022-01-20 13:02:42.717000+00:00;kLXmq12lngg9D+co;scroll;1531
165;2022-01-20 13:02:42.737000+00:00;kLXmq12lngg9D+co;scroll;1537
166;2022-01-20 13:02:42.753000+00:00;kLXmq12lngg9D+co;scroll;1547
167;2022-01-20 13:02:42.770000+00:00;kLXmq12lngg9D+co;scroll;1563
168;2022-01-20 13:02:42.787000+00:00;kLXmq12lngg9D+co;scroll;1586
169;2022-01-20 13:02:42.804000+00:00;kLXmq12lngg9D+co;scroll;1623
170;2022-01-20 13:02:42.821000+00:00;kLXmq12lngg9D+co;scroll;1673
171;2022-01-20 13:02:42.837000+00:00;kLXmq12lngg9D+co;scroll;1721
172;2022-01-20 13:02:42.854000+00:00;kLXmq12lngg9D+co;scroll;1765
173;2022-01-20 13:02:42.870000+00:00;kLXmq12lngg9D+co;scroll;1801
174;2022-01-20 13:02:42.887000+00:00;kLXmq12lngg9D+co;scroll;1836
175;2022-01-20 13:02:42.904000+00:00;kLXmq12lngg9D+co;scroll;1868
176;2022-01-20 13:02:42.921000+00:00;kLXmq12lngg9D+co;scroll;1896
177;2022-01-20 13:02:42.937000+00:00;kLXmq12lngg9D+co;scroll;1918
178;2022-01-20 13:02:42.954000+00:00;kLXmq12lngg9D+co;scroll;1932
179;2022-01-20 13:02:42.970000+00:00;kLXmq12lngg9D+co;scroll;1938
180;2022-01-20 13:02:44.078000+00:00;kLXmq12lngg9D+co;scroll;1937
181;2022-01-20 13:02:44.088000+00:00;kLXmq12lngg9D+co;scroll;1934
182;2022-01-20 13:02:44.105000+00:00;kLXmq12lngg9D+co;scroll;1926
183;2022-01-20 13:02:44.121000+00:00;kLXmq12lngg9D+co;scroll;1904
184;2022-01-20 13:02:44.138000+00:00;kLXmq12lngg9D+co;scroll;1845
