;time;token;event;position
0;2022-01-20 12:54:43.213000+00:00;lnDf1z48HlsD2ODx;scroll;0.0
1;2022-01-20 12:54:45.928000+00:00;lnDf1z48HlsD2ODx;scroll;1.0
2;2022-01-20 12:54:45.935000+00:00;lnDf1z48HlsD2ODx;scroll;2.0
3;2022-01-20 12:54:45.942000+00:00;lnDf1z48HlsD2ODx;scroll;4.0
4;2022-01-20 12:54:45.949000+00:00;lnDf1z48HlsD2ODx;scroll;6.0
5;2022-01-20 12:54:45.956000+00:00;lnDf1z48HlsD2ODx;scroll;9.0
6;2022-01-20 12:54:45.963000+00:00;lnDf1z48HlsD2ODx;scroll;13.0
7;2022-01-20 12:54:45.970000+00:00;lnDf1z48HlsD2ODx;scroll;17.0
8;2022-01-20 12:54:45.977000+00:00;lnDf1z48HlsD2ODx;scroll;23.0
9;2022-01-20 12:54:45.984000+00:00;lnDf1z48HlsD2ODx;scroll;30.0
10;2022-01-20 12:54:45.991000+00:00;lnDf1z48HlsD2ODx;scroll;39.0
11;2022-01-20 12:54:45.998000+00:00;lnDf1z48HlsD2ODx;scroll;50.0
12;2022-01-20 12:54:46.005000+00:00;lnDf1z48HlsD2ODx;scroll;64.0
13;2022-01-20 12:54:46.011000+00:00;lnDf1z48HlsD2ODx;scroll;80.0
14;2022-01-20 12:54:46.018000+00:00;lnDf1z48HlsD2ODx;scroll;99.0
15;2022-01-20 12:54:46.025000+00:00;lnDf1z48HlsD2ODx;scroll;121.0
16;2022-01-20 12:54:46.033000+00:00;lnDf1z48HlsD2ODx;scroll;148.0
17;2022-01-20 12:54:46.039000+00:00;lnDf1z48HlsD2ODx;scroll;177.0
18;2022-01-20 12:54:46.047000+00:00;lnDf1z48HlsD2ODx;scroll;210.0
19;2022-01-20 12:54:46.053000+00:00;lnDf1z48HlsD2ODx;scroll;247.0
20;2022-01-20 12:54:46.060000+00:00;lnDf1z48HlsD2ODx;scroll;287.0
21;2022-01-20 12:54:46.067000+00:00;lnDf1z48HlsD2ODx;scroll;331.0
22;2022-01-20 12:54:46.074000+00:00;lnDf1z48HlsD2ODx;scroll;377.0
23;2022-01-20 12:54:46.081000+00:00;lnDf1z48HlsD2ODx;scroll;427.0
24;2022-01-20 12:54:46.088000+00:00;lnDf1z48HlsD2ODx;scroll;478.0
25;2022-01-20 12:54:46.095000+00:00;lnDf1z48HlsD2ODx;scroll;529.0
26;2022-01-20 12:54:46.102000+00:00;lnDf1z48HlsD2ODx;scroll;580.0
27;2022-01-20 12:54:46.109000+00:00;lnDf1z48HlsD2ODx;scroll;629.0
28;2022-01-20 12:54:46.116000+00:00;lnDf1z48HlsD2ODx;scroll;677.0
29;2022-01-20 12:54:46.122000+00:00;lnDf1z48HlsD2ODx;scroll;722.0
30;2022-01-20 12:54:46.129000+00:00;lnDf1z48HlsD2ODx;scroll;763.0
31;2022-01-20 12:54:46.136000+00:00;lnDf1z48HlsD2ODx;scroll;799.0
