;time;token;event;position
0;2022-01-13 12:43:43.790000+00:00;mfjyhGqExT31yca0;scroll;0.0
1;2022-01-13 12:44:28.930000+00:00;mfjyhGqExT31yca0;scroll;1.0
2;2022-01-13 12:44:28.936000+00:00;mfjyhGqExT31yca0;scroll;4.0
3;2022-01-13 12:44:28.943000+00:00;mfjyhGqExT31yca0;scroll;12.0
4;2022-01-13 12:44:28.950000+00:00;mfjyhGqExT31yca0;scroll;26.0
5;2022-01-13 12:44:28.957000+00:00;mfjyhGqExT31yca0;scroll;44.0
6;2022-01-13 12:44:28.964000+00:00;mfjyhGqExT31yca0;scroll;61.0
7;2022-01-13 12:44:28.971000+00:00;mfjyhGqExT31yca0;scroll;74.0
8;2022-01-13 12:44:28.978000+00:00;mfjyhGqExT31yca0;scroll;85.0
9;2022-01-13 12:44:28.985000+00:00;mfjyhGqExT31yca0;scroll;94.0
10;2022-01-13 12:44:28.992000+00:00;mfjyhGqExT31yca0;scroll;102.0
11;2022-01-13 12:44:28.999000+00:00;mfjyhGqExT31yca0;scroll;109.0
12;2022-01-13 12:44:29.006000+00:00;mfjyhGqExT31yca0;scroll;119.0
13;2022-01-13 12:44:29.013000+00:00;mfjyhGqExT31yca0;scroll;130.0
14;2022-01-13 12:44:29.020000+00:00;mfjyhGqExT31yca0;scroll;144.0
15;2022-01-13 12:44:29.027000+00:00;mfjyhGqExT31yca0;scroll;162.0
16;2022-01-13 12:44:29.034000+00:00;mfjyhGqExT31yca0;scroll;181.0
17;2022-01-13 12:44:29.041000+00:00;mfjyhGqExT31yca0;scroll;198.0
18;2022-01-13 12:44:29.048000+00:00;mfjyhGqExT31yca0;scroll;213.0
19;2022-01-13 12:44:29.055000+00:00;mfjyhGqExT31yca0;scroll;224.0
20;2022-01-13 12:44:29.062000+00:00;mfjyhGqExT31yca0;scroll;233.0
21;2022-01-13 12:44:29.068000+00:00;mfjyhGqExT31yca0;scroll;241.0
22;2022-01-13 12:44:29.075000+00:00;mfjyhGqExT31yca0;scroll;247.0
23;2022-01-13 12:44:29.082000+00:00;mfjyhGqExT31yca0;scroll;253.0
24;2022-01-13 12:44:29.089000+00:00;mfjyhGqExT31yca0;scroll;257.0
25;2022-01-13 12:44:29.096000+00:00;mfjyhGqExT31yca0;scroll;261.0
26;2022-01-13 12:44:29.103000+00:00;mfjyhGqExT31yca0;scroll;265.0
27;2022-01-13 12:44:29.110000+00:00;mfjyhGqExT31yca0;scroll;268.0
