;time;token;event;position
0;2022-01-13 12:43:53.017000+00:00;nUwIMDNlkUSPLJNf;scroll;0.0
1;2022-01-13 12:45:35.237000+00:00;nUwIMDNlkUSPLJNf;scroll;1.1111111640930176
2;2022-01-13 12:45:35.244000+00:00;nUwIMDNlkUSPLJNf;scroll;2.222222328186035
3;2022-01-13 12:45:35.251000+00:00;nUwIMDNlkUSPLJNf;scroll;4.44444465637207
4;2022-01-13 12:45:35.258000+00:00;nUwIMDNlkUSPLJNf;scroll;6.6666669845581055
5;2022-01-13 12:45:35.265000+00:00;nUwIMDNlkUSPLJNf;scroll;10.0
6;2022-01-13 12:45:35.272000+00:00;nUwIMDNlkUSPLJNf;scroll;13.333333969116211
7;2022-01-13 12:45:35.286000+00:00;nUwIMDNlkUSPLJNf;scroll;22.22222328186035
8;2022-01-13 12:45:35.300000+00:00;nUwIMDNlkUSPLJNf;scroll;33.333335876464844
9;2022-01-13 12:45:35.314000+00:00;nUwIMDNlkUSPLJNf;scroll;46.66666793823242
10;2022-01-13 12:45:35.336000+00:00;nUwIMDNlkUSPLJNf;scroll;66.66667175292969
11;2022-01-13 12:45:35.348000+00:00;nUwIMDNlkUSPLJNf;scroll;78.8888931274414
12;2022-01-13 12:45:35.369000+00:00;nUwIMDNlkUSPLJNf;scroll;94.44445037841797
13;2022-01-13 12:45:35.383000+00:00;nUwIMDNlkUSPLJNf;scroll;102.22222137451172
14;2022-01-13 12:45:35.397000+00:00;nUwIMDNlkUSPLJNf;scroll;107.77777862548828
15;2022-01-13 12:45:35.418000+00:00;nUwIMDNlkUSPLJNf;scroll;111.11111450195312
16;2022-01-13 12:46:03.105000+00:00;nUwIMDNlkUSPLJNf;scroll;112.22222900390625
17;2022-01-13 12:46:03.112000+00:00;nUwIMDNlkUSPLJNf;scroll;113.33333587646484
18;2022-01-13 12:46:03.119000+00:00;nUwIMDNlkUSPLJNf;scroll;115.55555725097656
19;2022-01-13 12:46:03.126000+00:00;nUwIMDNlkUSPLJNf;scroll;117.77777862548828
20;2022-01-13 12:46:03.133000+00:00;nUwIMDNlkUSPLJNf;scroll;121.11111450195312
21;2022-01-13 12:46:03.140000+00:00;nUwIMDNlkUSPLJNf;scroll;124.44445037841797
22;2022-01-13 12:46:03.148000+00:00;nUwIMDNlkUSPLJNf;scroll;128.88888549804688
23;2022-01-13 12:46:03.168000+00:00;nUwIMDNlkUSPLJNf;scroll;144.44444274902344
24;2022-01-13 12:46:03.182000+00:00;nUwIMDNlkUSPLJNf;scroll;157.7777862548828
25;2022-01-13 12:46:03.203000+00:00;nUwIMDNlkUSPLJNf;scroll;177.7777862548828
26;2022-01-13 12:46:03.217000+00:00;nUwIMDNlkUSPLJNf;scroll;190.0
27;2022-01-13 12:46:03.231000+00:00;nUwIMDNlkUSPLJNf;scroll;201.11111450195312
28;2022-01-13 12:46:03.252000+00:00;nUwIMDNlkUSPLJNf;scroll;213.33334350585938
29;2022-01-13 12:46:03.265000+00:00;nUwIMDNlkUSPLJNf;scroll;218.88890075683594
30;2022-01-13 12:46:03.286000+00:00;nUwIMDNlkUSPLJNf;scroll;222.22222900390625
31;2022-01-13 12:46:26.460000+00:00;nUwIMDNlkUSPLJNf;scroll;223.33334350585938
32;2022-01-13 12:46:26.467000+00:00;nUwIMDNlkUSPLJNf;scroll;224.4444580078125
33;2022-01-13 12:46:26.474000+00:00;nUwIMDNlkUSPLJNf;scroll;226.6666717529297
34;2022-01-13 12:46:26.480000+00:00;nUwIMDNlkUSPLJNf;scroll;228.88890075683594
35;2022-01-13 12:46:26.487000+00:00;nUwIMDNlkUSPLJNf;scroll;232.22222900390625
