;time;token;event;position
0;2022-01-13 13:37:23.549000+00:00;ntm02BKeFItM5XEb;scroll;839
1;2022-01-13 13:37:23.578000+00:00;ntm02BKeFItM5XEb;scroll;838
2;2022-01-13 13:37:34.132000+00:00;ntm02BKeFItM5XEb;scroll;836
3;2022-01-13 13:37:34.156000+00:00;ntm02BKeFItM5XEb;scroll;836
4;2022-01-13 13:37:34.173000+00:00;ntm02BKeFItM5XEb;scroll;836
5;2022-01-13 13:37:34.182000+00:00;ntm02BKeFItM5XEb;scroll;838
6;2022-01-13 13:37:34.198000+00:00;ntm02BKeFItM5XEb;scroll;842
7;2022-01-13 13:37:34.214000+00:00;ntm02BKeFItM5XEb;scroll;846
8;2022-01-13 13:37:34.231000+00:00;ntm02BKeFItM5XEb;scroll;847
9;2022-01-13 13:37:34.248000+00:00;ntm02BKeFItM5XEb;scroll;846
10;2022-01-13 13:37:34.264000+00:00;ntm02BKeFItM5XEb;scroll;840
11;2022-01-13 13:37:34.281000+00:00;ntm02BKeFItM5XEb;scroll;829
12;2022-01-13 13:37:34.294000+00:00;ntm02BKeFItM5XEb;scroll;820
13;2022-01-13 13:37:34.312000+00:00;ntm02BKeFItM5XEb;scroll;812
14;2022-01-13 13:37:34.328000+00:00;ntm02BKeFItM5XEb;scroll;800
15;2022-01-13 13:37:34.345000+00:00;ntm02BKeFItM5XEb;scroll;788
16;2022-01-13 13:37:34.362000+00:00;ntm02BKeFItM5XEb;scroll;777
17;2022-01-13 13:37:34.378000+00:00;ntm02BKeFItM5XEb;scroll;766
18;2022-01-13 13:37:34.395000+00:00;ntm02BKeFItM5XEb;scroll;755
19;2022-01-13 13:37:34.412000+00:00;ntm02BKeFItM5XEb;scroll;745
20;2022-01-13 13:37:34.428000+00:00;ntm02BKeFItM5XEb;scroll;735
21;2022-01-13 13:37:34.445000+00:00;ntm02BKeFItM5XEb;scroll;725
22;2022-01-13 13:37:34.462000+00:00;ntm02BKeFItM5XEb;scroll;716
23;2022-01-13 13:37:34.478000+00:00;ntm02BKeFItM5XEb;scroll;707
24;2022-01-13 13:37:34.495000+00:00;ntm02BKeFItM5XEb;scroll;699
25;2022-01-13 13:37:34.512000+00:00;ntm02BKeFItM5XEb;scroll;690
26;2022-01-13 13:37:34.528000+00:00;ntm02BKeFItM5XEb;scroll;682
27;2022-01-13 13:37:34.545000+00:00;ntm02BKeFItM5XEb;scroll;674
28;2022-01-13 13:37:34.562000+00:00;ntm02BKeFItM5XEb;scroll;666
29;2022-01-13 13:37:34.578000+00:00;ntm02BKeFItM5XEb;scroll;659
30;2022-01-13 13:37:34.595000+00:00;ntm02BKeFItM5XEb;scroll;652
31;2022-01-13 13:37:34.612000+00:00;ntm02BKeFItM5XEb;scroll;645
32;2022-01-13 13:37:34.628000+00:00;ntm02BKeFItM5XEb;scroll;638
33;2022-01-13 13:37:34.645000+00:00;ntm02BKeFItM5XEb;scroll;632
34;2022-01-13 13:37:34.662000+00:00;ntm02BKeFItM5XEb;scroll;626
35;2022-01-13 13:37:34.678000+00:00;ntm02BKeFItM5XEb;scroll;620
36;2022-01-13 13:37:34.695000+00:00;ntm02BKeFItM5XEb;scroll;614
37;2022-01-13 13:37:34.712000+00:00;ntm02BKeFItM5XEb;scroll;609
38;2022-01-13 13:37:34.728000+00:00;ntm02BKeFItM5XEb;scroll;603
39;2022-01-13 13:37:34.745000+00:00;ntm02BKeFItM5XEb;scroll;598
40;2022-01-13 13:37:34.762000+00:00;ntm02BKeFItM5XEb;scroll;593
41;2022-01-13 13:37:34.778000+00:00;ntm02BKeFItM5XEb;scroll;588
42;2022-01-13 13:37:34.795000+00:00;ntm02BKeFItM5XEb;scroll;583
43;2022-01-13 13:37:34.812000+00:00;ntm02BKeFItM5XEb;scroll;578
44;2022-01-13 13:37:34.828000+00:00;ntm02BKeFItM5XEb;scroll;574
45;2022-01-13 13:37:34.845000+00:00;ntm02BKeFItM5XEb;scroll;569
46;2022-01-13 13:37:34.862000+00:00;ntm02BKeFItM5XEb;scroll;565
47;2022-01-13 13:37:34.878000+00:00;ntm02BKeFItM5XEb;scroll;561
48;2022-01-13 13:37:34.895000+00:00;ntm02BKeFItM5XEb;scroll;557
49;2022-01-13 13:37:34.912000+00:00;ntm02BKeFItM5XEb;scroll;553
50;2022-01-13 13:37:34.928000+00:00;ntm02BKeFItM5XEb;scroll;550
51;2022-01-13 13:37:34.945000+00:00;ntm02BKeFItM5XEb;scroll;546
52;2022-01-13 13:37:34.962000+00:00;ntm02BKeFItM5XEb;scroll;543
53;2022-01-13 13:37:34.978000+00:00;ntm02BKeFItM5XEb;scroll;539
54;2022-01-13 13:37:34.995000+00:00;ntm02BKeFItM5XEb;scroll;536
55;2022-01-13 13:37:35.012000+00:00;ntm02BKeFItM5XEb;scroll;533
56;2022-01-13 13:37:35.037000+00:00;ntm02BKeFItM5XEb;scroll;530
57;2022-01-13 13:37:35.101000+00:00;ntm02BKeFItM5XEb;scroll;522
58;2022-01-13 13:37:35.163000+00:00;ntm02BKeFItM5XEb;scroll;519
59;2022-01-13 13:37:35.180000+00:00;ntm02BKeFItM5XEb;scroll;516
60;2022-01-13 13:37:35.197000+00:00;ntm02BKeFItM5XEb;scroll;512
61;2022-01-13 13:37:35.214000+00:00;ntm02BKeFItM5XEb;scroll;511
62;2022-01-13 13:37:35.231000+00:00;ntm02BKeFItM5XEb;scroll;511
63;2022-01-13 13:37:35.248000+00:00;ntm02BKeFItM5XEb;scroll;511
64;2022-01-13 13:37:35.265000+00:00;ntm02BKeFItM5XEb;scroll;511
65;2022-01-13 13:37:35.281000+00:00;ntm02BKeFItM5XEb;scroll;512
66;2022-01-13 13:37:35.298000+00:00;ntm02BKeFItM5XEb;scroll;512
67;2022-01-13 13:37:35.315000+00:00;ntm02BKeFItM5XEb;scroll;512
68;2022-01-13 13:37:35.331000+00:00;ntm02BKeFItM5XEb;scroll;512
69;2022-01-13 13:37:35.348000+00:00;ntm02BKeFItM5XEb;scroll;512
70;2022-01-13 13:37:35.372000+00:00;ntm02BKeFItM5XEb;scroll;512
71;2022-01-13 13:37:35.410000+00:00;ntm02BKeFItM5XEb;scroll;512
72;2022-01-13 13:37:35.458000+00:00;ntm02BKeFItM5XEb;scroll;513
73;2022-01-13 13:37:35.736000+00:00;ntm02BKeFItM5XEb;scroll;513
74;2022-01-13 13:37:35.749000+00:00;ntm02BKeFItM5XEb;scroll;501
75;2022-01-13 13:37:35.769000+00:00;ntm02BKeFItM5XEb;scroll;435
76;2022-01-13 13:37:35.781000+00:00;ntm02BKeFItM5XEb;scroll;415
77;2022-01-13 13:37:35.797000+00:00;ntm02BKeFItM5XEb;scroll;378
78;2022-01-13 13:37:35.813000+00:00;ntm02BKeFItM5XEb;scroll;342
79;2022-01-13 13:37:35.830000+00:00;ntm02BKeFItM5XEb;scroll;304
80;2022-01-13 13:37:35.847000+00:00;ntm02BKeFItM5XEb;scroll;267
81;2022-01-13 13:37:35.863000+00:00;ntm02BKeFItM5XEb;scroll;229
82;2022-01-13 13:37:35.880000+00:00;ntm02BKeFItM5XEb;scroll;187
83;2022-01-13 13:37:35.897000+00:00;ntm02BKeFItM5XEb;scroll;138
84;2022-01-13 13:37:35.914000+00:00;ntm02BKeFItM5XEb;scroll;86
85;2022-01-13 13:37:35.930000+00:00;ntm02BKeFItM5XEb;scroll;18
86;2022-01-13 13:37:35.947000+00:00;ntm02BKeFItM5XEb;scroll;-39
87;2022-01-13 13:37:35.997000+00:00;ntm02BKeFItM5XEb;scroll;-233
88;2022-01-13 13:37:36.014000+00:00;ntm02BKeFItM5XEb;scroll;-286
