;time;token;event;position
0;2022-01-13 12:45:15.954000+00:00;pP99TCwgciuoBuUD;scroll;0.0
1;2022-01-13 12:45:39.590000+00:00;pP99TCwgciuoBuUD;scroll;2.0
2;2022-01-13 12:45:39.599000+00:00;pP99TCwgciuoBuUD;scroll;5.0
3;2022-01-13 12:45:39.607000+00:00;pP99TCwgciuoBuUD;scroll;9.0
4;2022-01-13 12:45:39.616000+00:00;pP99TCwgciuoBuUD;scroll;27.0
5;2022-01-13 12:45:39.624000+00:00;pP99TCwgciuoBuUD;scroll;66.0
6;2022-01-13 12:45:39.632000+00:00;pP99TCwgciuoBuUD;scroll;125.0
7;2022-01-13 12:45:39.641000+00:00;pP99TCwgciuoBuUD;scroll;205.0
8;2022-01-13 12:45:39.649000+00:00;pP99TCwgciuoBuUD;scroll;286.0
9;2022-01-13 12:45:39.657000+00:00;pP99TCwgciuoBuUD;scroll;358.0
10;2022-01-13 12:45:39.666000+00:00;pP99TCwgciuoBuUD;scroll;428.0
11;2022-01-13 12:45:39.674000+00:00;pP99TCwgciuoBuUD;scroll;489.0
12;2022-01-13 12:45:39.682000+00:00;pP99TCwgciuoBuUD;scroll;540.0
13;2022-01-13 12:45:39.691000+00:00;pP99TCwgciuoBuUD;scroll;579.0
14;2022-01-13 12:45:39.699000+00:00;pP99TCwgciuoBuUD;scroll;605.0
15;2022-01-13 12:45:39.708000+00:00;pP99TCwgciuoBuUD;scroll;612.0
16;2022-01-13 12:45:39.843000+00:00;pP99TCwgciuoBuUD;scroll;613.0
17;2022-01-13 12:45:39.849000+00:00;pP99TCwgciuoBuUD;scroll;614.0
18;2022-01-13 12:45:39.858000+00:00;pP99TCwgciuoBuUD;scroll;619.0
19;2022-01-13 12:45:39.866000+00:00;pP99TCwgciuoBuUD;scroll;664.0
20;2022-01-13 12:45:39.874000+00:00;pP99TCwgciuoBuUD;scroll;710.0
21;2022-01-13 12:45:39.883000+00:00;pP99TCwgciuoBuUD;scroll;783.0
22;2022-01-13 12:45:39.890000+00:00;pP99TCwgciuoBuUD;scroll;840.0
23;2022-01-13 12:45:39.899000+00:00;pP99TCwgciuoBuUD;scroll;888.0
24;2022-01-13 12:45:39.907000+00:00;pP99TCwgciuoBuUD;scroll;920.0
25;2022-01-13 12:45:39.916000+00:00;pP99TCwgciuoBuUD;scroll;933.0
26;2022-01-13 12:45:41.190000+00:00;pP99TCwgciuoBuUD;scroll;931.0
27;2022-01-13 12:45:41.199000+00:00;pP99TCwgciuoBuUD;scroll;928.0
28;2022-01-13 12:45:41.216000+00:00;pP99TCwgciuoBuUD;scroll;919.0
29;2022-01-13 12:45:41.224000+00:00;pP99TCwgciuoBuUD;scroll;902.0
30;2022-01-13 12:45:41.233000+00:00;pP99TCwgciuoBuUD;scroll;872.0
31;2022-01-13 12:45:41.241000+00:00;pP99TCwgciuoBuUD;scroll;816.0
32;2022-01-13 12:45:41.249000+00:00;pP99TCwgciuoBuUD;scroll;705.0
33;2022-01-13 12:45:41.258000+00:00;pP99TCwgciuoBuUD;scroll;601.0
34;2022-01-13 12:45:41.266000+00:00;pP99TCwgciuoBuUD;scroll;512.0
35;2022-01-13 12:45:41.275000+00:00;pP99TCwgciuoBuUD;scroll;457.0
36;2022-01-13 12:45:41.282000+00:00;pP99TCwgciuoBuUD;scroll;412.0
37;2022-01-13 12:45:41.290000+00:00;pP99TCwgciuoBuUD;scroll;374.0
38;2022-01-13 12:45:41.299000+00:00;pP99TCwgciuoBuUD;scroll;346.0
39;2022-01-13 12:45:41.308000+00:00;pP99TCwgciuoBuUD;scroll;327.0
40;2022-01-13 12:45:41.316000+00:00;pP99TCwgciuoBuUD;scroll;321.0
41;2022-01-13 12:45:41.483000+00:00;pP99TCwgciuoBuUD;scroll;320.0
42;2022-01-13 12:45:41.491000+00:00;pP99TCwgciuoBuUD;scroll;309.0
43;2022-01-13 12:45:41.500000+00:00;pP99TCwgciuoBuUD;scroll;295.0
44;2022-01-13 12:45:41.507000+00:00;pP99TCwgciuoBuUD;scroll;245.0
45;2022-01-13 12:45:41.516000+00:00;pP99TCwgciuoBuUD;scroll;200.0
46;2022-01-13 12:45:41.524000+00:00;pP99TCwgciuoBuUD;scroll;128.0
47;2022-01-13 12:45:41.532000+00:00;pP99TCwgciuoBuUD;scroll;76.0
48;2022-01-13 12:45:41.541000+00:00;pP99TCwgciuoBuUD;scroll;34.0
49;2022-01-13 12:45:41.549000+00:00;pP99TCwgciuoBuUD;scroll;8.0
50;2022-01-13 12:45:41.558000+00:00;pP99TCwgciuoBuUD;scroll;0.0
51;2022-01-13 12:46:18.751000+00:00;pP99TCwgciuoBuUD;scroll;1.0
52;2022-01-13 12:46:18.755000+00:00;pP99TCwgciuoBuUD;scroll;2.0
53;2022-01-13 12:46:18.763000+00:00;pP99TCwgciuoBuUD;scroll;6.0
54;2022-01-13 12:46:18.772000+00:00;pP99TCwgciuoBuUD;scroll;10.0
55;2022-01-13 12:46:18.780000+00:00;pP99TCwgciuoBuUD;scroll;15.0
56;2022-01-13 12:46:18.789000+00:00;pP99TCwgciuoBuUD;scroll;20.0
57;2022-01-13 12:46:18.797000+00:00;pP99TCwgciuoBuUD;scroll;26.0
58;2022-01-13 12:46:18.805000+00:00;pP99TCwgciuoBuUD;scroll;32.0
59;2022-01-13 12:46:18.814000+00:00;pP99TCwgciuoBuUD;scroll;39.0
60;2022-01-13 12:46:18.822000+00:00;pP99TCwgciuoBuUD;scroll;45.0
61;2022-01-13 12:46:18.831000+00:00;pP99TCwgciuoBuUD;scroll;51.0
62;2022-01-13 12:46:18.839000+00:00;pP99TCwgciuoBuUD;scroll;58.0
63;2022-01-13 12:46:18.847000+00:00;pP99TCwgciuoBuUD;scroll;64.0
64;2022-01-13 12:46:18.856000+00:00;pP99TCwgciuoBuUD;scroll;69.0
65;2022-01-13 12:46:18.864000+00:00;pP99TCwgciuoBuUD;scroll;75.0
66;2022-01-13 12:46:18.873000+00:00;pP99TCwgciuoBuUD;scroll;80.0
67;2022-01-13 12:46:18.881000+00:00;pP99TCwgciuoBuUD;scroll;85.0
