;time;token;event;position
0;2022-01-13 08:54:23.283000+00:00;qCGnlIkLoHHQFGEi;scroll;0
1;2022-01-13 08:55:04.614000+00:00;qCGnlIkLoHHQFGEi;scroll;2
2;2022-01-13 08:55:04.631000+00:00;qCGnlIkLoHHQFGEi;scroll;10
3;2022-01-13 08:55:04.647000+00:00;qCGnlIkLoHHQFGEi;scroll;24
4;2022-01-13 08:55:04.663000+00:00;qCGnlIkLoHHQFGEi;scroll;43
5;2022-01-13 08:55:04.680000+00:00;qCGnlIkLoHHQFGEi;scroll;63
6;2022-01-13 08:55:04.696000+00:00;qCGnlIkLoHHQFGEi;scroll;84
7;2022-01-13 08:55:04.713000+00:00;qCGnlIkLoHHQFGEi;scroll;103
8;2022-01-13 08:55:04.730000+00:00;qCGnlIkLoHHQFGEi;scroll;122
9;2022-01-13 08:55:04.747000+00:00;qCGnlIkLoHHQFGEi;scroll;138
10;2022-01-13 08:55:04.764000+00:00;qCGnlIkLoHHQFGEi;scroll;151
11;2022-01-13 08:55:04.780000+00:00;qCGnlIkLoHHQFGEi;scroll;162
12;2022-01-13 08:55:04.797000+00:00;qCGnlIkLoHHQFGEi;scroll;168
13;2022-01-13 08:55:04.813000+00:00;qCGnlIkLoHHQFGEi;scroll;171
