;time;token;event;position
0;2022-01-13 13:48:57.615000+00:00;qxx1HdWKigAo2V6Z;scroll;0
1;2022-01-13 13:49:54.635000+00:00;qxx1HdWKigAo2V6Z;scroll;6
2;2022-01-13 13:49:54.649000+00:00;qxx1HdWKigAo2V6Z;scroll;12
3;2022-01-13 13:49:54.666000+00:00;qxx1HdWKigAo2V6Z;scroll;57
4;2022-01-13 13:49:54.682000+00:00;qxx1HdWKigAo2V6Z;scroll;98
5;2022-01-13 13:49:54.699000+00:00;qxx1HdWKigAo2V6Z;scroll;128
6;2022-01-13 13:49:54.715000+00:00;qxx1HdWKigAo2V6Z;scroll;170
7;2022-01-13 13:49:54.733000+00:00;qxx1HdWKigAo2V6Z;scroll;251
8;2022-01-13 13:49:54.749000+00:00;qxx1HdWKigAo2V6Z;scroll;334
9;2022-01-13 13:49:54.766000+00:00;qxx1HdWKigAo2V6Z;scroll;433
10;2022-01-13 13:49:54.782000+00:00;qxx1HdWKigAo2V6Z;scroll;540
11;2022-01-13 13:49:54.799000+00:00;qxx1HdWKigAo2V6Z;scroll;707
12;2022-01-13 13:49:54.815000+00:00;qxx1HdWKigAo2V6Z;scroll;776
13;2022-01-13 13:49:54.833000+00:00;qxx1HdWKigAo2V6Z;scroll;841
14;2022-01-13 13:49:54.848000+00:00;qxx1HdWKigAo2V6Z;scroll;916
15;2022-01-13 13:49:54.865000+00:00;qxx1HdWKigAo2V6Z;scroll;954
16;2022-01-13 13:49:54.882000+00:00;qxx1HdWKigAo2V6Z;scroll;1005
17;2022-01-13 13:49:54.899000+00:00;qxx1HdWKigAo2V6Z;scroll;1053
18;2022-01-13 13:49:54.915000+00:00;qxx1HdWKigAo2V6Z;scroll;1116
19;2022-01-13 13:49:54.932000+00:00;qxx1HdWKigAo2V6Z;scroll;1139
20;2022-01-13 13:49:54.950000+00:00;qxx1HdWKigAo2V6Z;scroll;1154
21;2022-01-13 13:49:54.966000+00:00;qxx1HdWKigAo2V6Z;scroll;1169
22;2022-01-13 13:49:54.985000+00:00;qxx1HdWKigAo2V6Z;scroll;1199
23;2022-01-13 13:49:54.998000+00:00;qxx1HdWKigAo2V6Z;scroll;1214
24;2022-01-13 13:49:55.733000+00:00;qxx1HdWKigAo2V6Z;scroll;1205
25;2022-01-13 13:49:55.750000+00:00;qxx1HdWKigAo2V6Z;scroll;1187
26;2022-01-13 13:49:55.770000+00:00;qxx1HdWKigAo2V6Z;scroll;1122
27;2022-01-13 13:49:55.789000+00:00;qxx1HdWKigAo2V6Z;scroll;1080
28;2022-01-13 13:49:55.801000+00:00;qxx1HdWKigAo2V6Z;scroll;1044
29;2022-01-13 13:49:55.822000+00:00;qxx1HdWKigAo2V6Z;scroll;1008
30;2022-01-13 13:49:55.832000+00:00;qxx1HdWKigAo2V6Z;scroll;963
31;2022-01-13 13:49:55.848000+00:00;qxx1HdWKigAo2V6Z;scroll;928
32;2022-01-13 13:49:55.865000+00:00;qxx1HdWKigAo2V6Z;scroll;883
33;2022-01-13 13:49:55.881000+00:00;qxx1HdWKigAo2V6Z;scroll;847
34;2022-01-13 13:49:55.898000+00:00;qxx1HdWKigAo2V6Z;scroll;802
35;2022-01-13 13:49:55.914000+00:00;qxx1HdWKigAo2V6Z;scroll;776
36;2022-01-13 13:49:55.933000+00:00;qxx1HdWKigAo2V6Z;scroll;740
37;2022-01-13 13:49:55.948000+00:00;qxx1HdWKigAo2V6Z;scroll;707
38;2022-01-13 13:49:55.965000+00:00;qxx1HdWKigAo2V6Z;scroll;647
39;2022-01-13 13:49:55.984000+00:00;qxx1HdWKigAo2V6Z;scroll;614
40;2022-01-13 13:49:55.998000+00:00;qxx1HdWKigAo2V6Z;scroll;579
41;2022-01-13 13:49:56.015000+00:00;qxx1HdWKigAo2V6Z;scroll;525
42;2022-01-13 13:49:56.031000+00:00;qxx1HdWKigAo2V6Z;scroll;492
43;2022-01-13 13:49:56.049000+00:00;qxx1HdWKigAo2V6Z;scroll;459
44;2022-01-13 13:49:56.065000+00:00;qxx1HdWKigAo2V6Z;scroll;412
45;2022-01-13 13:49:56.083000+00:00;qxx1HdWKigAo2V6Z;scroll;337
46;2022-01-13 13:49:56.098000+00:00;qxx1HdWKigAo2V6Z;scroll;298
