;time;token;event;position
0;2022-01-13 12:43:36.484000+00:00;r8G1mIWWwvlT7MVD;scroll;0
1;2022-01-13 12:44:19.398000+00:00;r8G1mIWWwvlT7MVD;scroll;1
2;2022-01-13 12:44:19.405000+00:00;r8G1mIWWwvlT7MVD;scroll;2
3;2022-01-13 12:44:19.412000+00:00;r8G1mIWWwvlT7MVD;scroll;4
4;2022-01-13 12:44:19.419000+00:00;r8G1mIWWwvlT7MVD;scroll;6
5;2022-01-13 12:44:19.426000+00:00;r8G1mIWWwvlT7MVD;scroll;9
6;2022-01-13 12:44:19.433000+00:00;r8G1mIWWwvlT7MVD;scroll;12
7;2022-01-13 12:44:19.440000+00:00;r8G1mIWWwvlT7MVD;scroll;16
8;2022-01-13 12:44:19.447000+00:00;r8G1mIWWwvlT7MVD;scroll;21
9;2022-01-13 12:44:19.454000+00:00;r8G1mIWWwvlT7MVD;scroll;25
10;2022-01-13 12:44:19.461000+00:00;r8G1mIWWwvlT7MVD;scroll;31
11;2022-01-13 12:44:19.468000+00:00;r8G1mIWWwvlT7MVD;scroll;36
12;2022-01-13 12:44:19.475000+00:00;r8G1mIWWwvlT7MVD;scroll;42
13;2022-01-13 12:44:19.482000+00:00;r8G1mIWWwvlT7MVD;scroll;48
14;2022-01-13 12:44:19.489000+00:00;r8G1mIWWwvlT7MVD;scroll;54
15;2022-01-13 12:44:19.496000+00:00;r8G1mIWWwvlT7MVD;scroll;60
16;2022-01-13 12:44:19.503000+00:00;r8G1mIWWwvlT7MVD;scroll;66
17;2022-01-13 12:44:19.509000+00:00;r8G1mIWWwvlT7MVD;scroll;71
18;2022-01-13 12:44:19.516000+00:00;r8G1mIWWwvlT7MVD;scroll;76
19;2022-01-13 12:44:19.523000+00:00;r8G1mIWWwvlT7MVD;scroll;81
20;2022-01-13 12:44:19.530000+00:00;r8G1mIWWwvlT7MVD;scroll;85
21;2022-01-13 12:44:19.537000+00:00;r8G1mIWWwvlT7MVD;scroll;89
22;2022-01-13 12:44:19.544000+00:00;r8G1mIWWwvlT7MVD;scroll;92
23;2022-01-13 12:44:19.551000+00:00;r8G1mIWWwvlT7MVD;scroll;95
24;2022-01-13 12:44:19.558000+00:00;r8G1mIWWwvlT7MVD;scroll;97
25;2022-01-13 12:44:19.565000+00:00;r8G1mIWWwvlT7MVD;scroll;98
26;2022-01-13 12:44:19.572000+00:00;r8G1mIWWwvlT7MVD;scroll;99
27;2022-01-13 12:44:19.579000+00:00;r8G1mIWWwvlT7MVD;scroll;100
28;2022-01-13 12:44:19.696000+00:00;r8G1mIWWwvlT7MVD;scroll;106
29;2022-01-13 12:44:19.704000+00:00;r8G1mIWWwvlT7MVD;scroll;109
30;2022-01-13 12:44:19.711000+00:00;r8G1mIWWwvlT7MVD;scroll;112
31;2022-01-13 12:44:19.718000+00:00;r8G1mIWWwvlT7MVD;scroll;116
32;2022-01-13 12:44:19.725000+00:00;r8G1mIWWwvlT7MVD;scroll;121
33;2022-01-13 12:44:19.732000+00:00;r8G1mIWWwvlT7MVD;scroll;126
34;2022-01-13 12:44:19.739000+00:00;r8G1mIWWwvlT7MVD;scroll;131
35;2022-01-13 12:44:19.746000+00:00;r8G1mIWWwvlT7MVD;scroll;136
36;2022-01-13 12:44:19.753000+00:00;r8G1mIWWwvlT7MVD;scroll;142
37;2022-01-13 12:44:19.759000+00:00;r8G1mIWWwvlT7MVD;scroll;148
38;2022-01-13 12:44:19.766000+00:00;r8G1mIWWwvlT7MVD;scroll;154
39;2022-01-13 12:44:19.773000+00:00;r8G1mIWWwvlT7MVD;scroll;160
40;2022-01-13 12:44:19.780000+00:00;r8G1mIWWwvlT7MVD;scroll;166
41;2022-01-13 12:44:19.787000+00:00;r8G1mIWWwvlT7MVD;scroll;171
