;time;token;event;position
0;2022-01-13 12:43:49.245000+00:00;rw2fEVhPyQo4A1a5;scroll;0.0
1;2022-01-13 12:44:13.302000+00:00;rw2fEVhPyQo4A1a5;scroll;0.761904776096344
2;2022-01-13 12:44:13.315000+00:00;rw2fEVhPyQo4A1a5;scroll;3.4285714626312256
3;2022-01-13 12:44:13.331000+00:00;rw2fEVhPyQo4A1a5;scroll;8.0
4;2022-01-13 12:44:13.348000+00:00;rw2fEVhPyQo4A1a5;scroll;14.857142448425293
5;2022-01-13 12:44:13.365000+00:00;rw2fEVhPyQo4A1a5;scroll;24.380952835083008
6;2022-01-13 12:44:13.381000+00:00;rw2fEVhPyQo4A1a5;scroll;36.9523811340332
7;2022-01-13 12:44:13.398000+00:00;rw2fEVhPyQo4A1a5;scroll;52.57143020629883
8;2022-01-13 12:44:13.415000+00:00;rw2fEVhPyQo4A1a5;scroll;68.95237731933594
9;2022-01-13 12:44:13.431000+00:00;rw2fEVhPyQo4A1a5;scroll;84.95237731933594
10;2022-01-13 12:44:13.448000+00:00;rw2fEVhPyQo4A1a5;scroll;98.66666412353516
11;2022-01-13 12:44:13.465000+00:00;rw2fEVhPyQo4A1a5;scroll;110.85713958740234
12;2022-01-13 12:44:13.481000+00:00;rw2fEVhPyQo4A1a5;scroll;123.04762268066406
13;2022-01-13 12:44:13.498000+00:00;rw2fEVhPyQo4A1a5;scroll;134.4761962890625
14;2022-01-13 12:44:13.515000+00:00;rw2fEVhPyQo4A1a5;scroll;144.76190185546875
15;2022-01-13 12:44:13.531000+00:00;rw2fEVhPyQo4A1a5;scroll;153.5238037109375
16;2022-01-13 12:44:13.548000+00:00;rw2fEVhPyQo4A1a5;scroll;160.76190185546875
17;2022-01-13 12:44:13.565000+00:00;rw2fEVhPyQo4A1a5;scroll;165.7142791748047
18;2022-01-13 12:44:13.581000+00:00;rw2fEVhPyQo4A1a5;scroll;168.76190185546875
19;2022-01-13 12:44:13.598000+00:00;rw2fEVhPyQo4A1a5;scroll;170.6666717529297
20;2022-01-13 12:44:13.615000+00:00;rw2fEVhPyQo4A1a5;scroll;171.42857360839844
21;2022-01-13 12:44:13.631000+00:00;rw2fEVhPyQo4A1a5;scroll;173.7142791748047
22;2022-01-13 12:44:13.648000+00:00;rw2fEVhPyQo4A1a5;scroll;177.5238037109375
23;2022-01-13 12:44:13.665000+00:00;rw2fEVhPyQo4A1a5;scroll;183.23809814453125
24;2022-01-13 12:44:13.681000+00:00;rw2fEVhPyQo4A1a5;scroll;190.4761962890625
25;2022-01-13 12:44:13.698000+00:00;rw2fEVhPyQo4A1a5;scroll;198.4761962890625
26;2022-01-13 12:44:13.715000+00:00;rw2fEVhPyQo4A1a5;scroll;206.85714721679688
27;2022-01-13 12:44:13.731000+00:00;rw2fEVhPyQo4A1a5;scroll;214.4761962890625
28;2022-01-13 12:44:13.748000+00:00;rw2fEVhPyQo4A1a5;scroll;220.57142639160156
29;2022-01-13 12:44:13.765000+00:00;rw2fEVhPyQo4A1a5;scroll;225.14285278320312
30;2022-01-13 12:44:13.781000+00:00;rw2fEVhPyQo4A1a5;scroll;227.8095245361328
31;2022-01-13 12:44:13.798000+00:00;rw2fEVhPyQo4A1a5;scroll;228.57142639160156
32;2022-01-13 12:44:31.916000+00:00;rw2fEVhPyQo4A1a5;scroll;229.3333282470703
33;2022-01-13 12:44:31.917000+00:00;rw2fEVhPyQo4A1a5;scroll;232.0
34;2022-01-13 12:44:31.933000+00:00;rw2fEVhPyQo4A1a5;scroll;236.57142639160156
35;2022-01-13 12:44:31.950000+00:00;rw2fEVhPyQo4A1a5;scroll;243.04762268066406
36;2022-01-13 12:44:31.967000+00:00;rw2fEVhPyQo4A1a5;scroll;251.04762268066406
37;2022-01-13 12:44:31.983000+00:00;rw2fEVhPyQo4A1a5;scroll;259.4285583496094
38;2022-01-13 12:44:32+00:00;rw2fEVhPyQo4A1a5;scroll;267.80950927734375
39;2022-01-13 12:44:32.017000+00:00;rw2fEVhPyQo4A1a5;scroll;274.6666564941406
40;2022-01-13 12:44:32.033000+00:00;rw2fEVhPyQo4A1a5;scroll;280.3809509277344
41;2022-01-13 12:44:32.050000+00:00;rw2fEVhPyQo4A1a5;scroll;283.80950927734375
42;2022-01-13 12:44:32.067000+00:00;rw2fEVhPyQo4A1a5;scroll;285.71429443359375
43;2022-01-13 12:44:32.286000+00:00;rw2fEVhPyQo4A1a5;scroll;284.952392578125
44;2022-01-13 12:44:32.300000+00:00;rw2fEVhPyQo4A1a5;scroll;282.28570556640625
45;2022-01-13 12:44:32.317000+00:00;rw2fEVhPyQo4A1a5;scroll;277.71429443359375
46;2022-01-13 12:44:32.333000+00:00;rw2fEVhPyQo4A1a5;scroll;271.23809814453125
47;2022-01-13 12:44:32.350000+00:00;rw2fEVhPyQo4A1a5;scroll;263.23809814453125
48;2022-01-13 12:44:32.367000+00:00;rw2fEVhPyQo4A1a5;scroll;254.85714721679688
49;2022-01-13 12:44:32.383000+00:00;rw2fEVhPyQo4A1a5;scroll;246.4761962890625
50;2022-01-13 12:44:32.400000+00:00;rw2fEVhPyQo4A1a5;scroll;239.61904907226562
51;2022-01-13 12:44:32.417000+00:00;rw2fEVhPyQo4A1a5;scroll;233.90475463867188
52;2022-01-13 12:44:32.433000+00:00;rw2fEVhPyQo4A1a5;scroll;230.4761962890625
53;2022-01-13 12:44:32.450000+00:00;rw2fEVhPyQo4A1a5;scroll;228.57142639160156
54;2022-01-13 12:44:34.917000+00:00;rw2fEVhPyQo4A1a5;scroll;229.3333282470703
55;2022-01-13 12:44:34.934000+00:00;rw2fEVhPyQo4A1a5;scroll;232.0
56;2022-01-13 12:44:34.951000+00:00;rw2fEVhPyQo4A1a5;scroll;238.85714721679688
57;2022-01-13 12:44:34.967000+00:00;rw2fEVhPyQo4A1a5;scroll;250.6666717529297
58;2022-01-13 12:44:34.984000+00:00;rw2fEVhPyQo4A1a5;scroll;271.23809814453125
59;2022-01-13 12:44:35.001000+00:00;rw2fEVhPyQo4A1a5;scroll;300.5714416503906
60;2022-01-13 12:44:35.017000+00:00;rw2fEVhPyQo4A1a5;scroll;334.4761962890625
61;2022-01-13 12:44:35.034000+00:00;rw2fEVhPyQo4A1a5;scroll;366.8571472167969
62;2022-01-13 12:44:35.050000+00:00;rw2fEVhPyQo4A1a5;scroll;395.4285583496094
63;2022-01-13 12:44:35.067000+00:00;rw2fEVhPyQo4A1a5;scroll;419.80950927734375
64;2022-01-13 12:44:35.084000+00:00;rw2fEVhPyQo4A1a5;scroll;437.71429443359375
