;time;token;event;position
0;2022-01-13 12:43:56.734000+00:00;sIISzeXOqvy086Wq;scroll;0
1;2022-01-13 12:45:08.225000+00:00;sIISzeXOqvy086Wq;scroll;1
2;2022-01-13 12:45:08.231000+00:00;sIISzeXOqvy086Wq;scroll;6
3;2022-01-13 12:45:08.250000+00:00;sIISzeXOqvy086Wq;scroll;13
4;2022-01-13 12:45:08.266000+00:00;sIISzeXOqvy086Wq;scroll;24
5;2022-01-13 12:45:08.281000+00:00;sIISzeXOqvy086Wq;scroll;37
6;2022-01-13 12:45:08.298000+00:00;sIISzeXOqvy086Wq;scroll;51
7;2022-01-13 12:45:08.316000+00:00;sIISzeXOqvy086Wq;scroll;65
8;2022-01-13 12:45:08.331000+00:00;sIISzeXOqvy086Wq;scroll;78
9;2022-01-13 12:45:08.348000+00:00;sIISzeXOqvy086Wq;scroll;88
10;2022-01-13 12:45:08.364000+00:00;sIISzeXOqvy086Wq;scroll;95
11;2022-01-13 12:45:08.381000+00:00;sIISzeXOqvy086Wq;scroll;99
12;2022-01-13 12:45:08.397000+00:00;sIISzeXOqvy086Wq;scroll;100
13;2022-01-13 12:45:08.918000+00:00;sIISzeXOqvy086Wq;scroll;99
14;2022-01-13 12:45:08.931000+00:00;sIISzeXOqvy086Wq;scroll;94
15;2022-01-13 12:45:08.948000+00:00;sIISzeXOqvy086Wq;scroll;87
16;2022-01-13 12:45:08.964000+00:00;sIISzeXOqvy086Wq;scroll;76
17;2022-01-13 12:45:08.981000+00:00;sIISzeXOqvy086Wq;scroll;64
18;2022-01-13 12:45:08.998000+00:00;sIISzeXOqvy086Wq;scroll;49
19;2022-01-13 12:45:09.014000+00:00;sIISzeXOqvy086Wq;scroll;35
20;2022-01-13 12:45:09.031000+00:00;sIISzeXOqvy086Wq;scroll;22
21;2022-01-13 12:45:09.048000+00:00;sIISzeXOqvy086Wq;scroll;12
22;2022-01-13 12:45:09.064000+00:00;sIISzeXOqvy086Wq;scroll;5
23;2022-01-13 12:45:09.081000+00:00;sIISzeXOqvy086Wq;scroll;1
24;2022-01-13 12:45:09.098000+00:00;sIISzeXOqvy086Wq;scroll;0
25;2022-01-13 12:45:18.250000+00:00;sIISzeXOqvy086Wq;scroll;1
26;2022-01-13 12:45:18.265000+00:00;sIISzeXOqvy086Wq;scroll;6
27;2022-01-13 12:45:18.281000+00:00;sIISzeXOqvy086Wq;scroll;13
28;2022-01-13 12:45:18.297000+00:00;sIISzeXOqvy086Wq;scroll;24
29;2022-01-13 12:45:18.314000+00:00;sIISzeXOqvy086Wq;scroll;36
30;2022-01-13 12:45:18.331000+00:00;sIISzeXOqvy086Wq;scroll;51
31;2022-01-13 12:45:18.347000+00:00;sIISzeXOqvy086Wq;scroll;65
32;2022-01-13 12:45:18.364000+00:00;sIISzeXOqvy086Wq;scroll;78
33;2022-01-13 12:45:18.381000+00:00;sIISzeXOqvy086Wq;scroll;88
34;2022-01-13 12:45:18.397000+00:00;sIISzeXOqvy086Wq;scroll;95
