;time;token;event;position
0;2022-01-20 13:01:46.972000+00:00;sR3hl9W1jLu9vbrw;scroll;0.0
1;2022-01-20 13:03:33.775000+00:00;sR3hl9W1jLu9vbrw;scroll;0.800000011920929
2;2022-01-20 13:03:33.782000+00:00;sR3hl9W1jLu9vbrw;scroll;2.4000000953674316
3;2022-01-20 13:03:33.789000+00:00;sR3hl9W1jLu9vbrw;scroll;4.0
4;2022-01-20 13:03:33.795000+00:00;sR3hl9W1jLu9vbrw;scroll;6.400000095367432
5;2022-01-20 13:03:33.802000+00:00;sR3hl9W1jLu9vbrw;scroll;9.600000381469727
6;2022-01-20 13:03:33.809000+00:00;sR3hl9W1jLu9vbrw;scroll;12.800000190734863
7;2022-01-20 13:03:33.816000+00:00;sR3hl9W1jLu9vbrw;scroll;17.600000381469727
8;2022-01-20 13:03:33.823000+00:00;sR3hl9W1jLu9vbrw;scroll;22.399999618530273
9;2022-01-20 13:03:33.830000+00:00;sR3hl9W1jLu9vbrw;scroll;28.0
10;2022-01-20 13:03:33.837000+00:00;sR3hl9W1jLu9vbrw;scroll;33.599998474121094
11;2022-01-20 13:03:33.844000+00:00;sR3hl9W1jLu9vbrw;scroll;40.79999923706055
12;2022-01-20 13:03:33.851000+00:00;sR3hl9W1jLu9vbrw;scroll;48.0
13;2022-01-20 13:03:33.858000+00:00;sR3hl9W1jLu9vbrw;scroll;56.0
14;2022-01-20 13:03:33.865000+00:00;sR3hl9W1jLu9vbrw;scroll;64.0
15;2022-01-20 13:03:33.872000+00:00;sR3hl9W1jLu9vbrw;scroll;73.5999984741211
16;2022-01-20 13:03:33.879000+00:00;sR3hl9W1jLu9vbrw;scroll;83.19999694824219
17;2022-01-20 13:03:33.886000+00:00;sR3hl9W1jLu9vbrw;scroll;93.5999984741211
18;2022-01-20 13:03:33.893000+00:00;sR3hl9W1jLu9vbrw;scroll;104.0
19;2022-01-20 13:03:33.900000+00:00;sR3hl9W1jLu9vbrw;scroll;115.19999694824219
20;2022-01-20 13:03:33.907000+00:00;sR3hl9W1jLu9vbrw;scroll;126.4000015258789
21;2022-01-20 13:03:33.913000+00:00;sR3hl9W1jLu9vbrw;scroll;138.39999389648438
22;2022-01-20 13:03:33.920000+00:00;sR3hl9W1jLu9vbrw;scroll;150.39999389648438
23;2022-01-20 13:03:33.927000+00:00;sR3hl9W1jLu9vbrw;scroll;162.39999389648438
24;2022-01-20 13:03:33.934000+00:00;sR3hl9W1jLu9vbrw;scroll;175.1999969482422
25;2022-01-20 13:03:33.941000+00:00;sR3hl9W1jLu9vbrw;scroll;188.0
26;2022-01-20 13:03:33.948000+00:00;sR3hl9W1jLu9vbrw;scroll;200.8000030517578
27;2022-01-20 13:03:33.955000+00:00;sR3hl9W1jLu9vbrw;scroll;212.8000030517578
28;2022-01-20 13:03:33.962000+00:00;sR3hl9W1jLu9vbrw;scroll;225.60000610351562
29;2022-01-20 13:03:33.969000+00:00;sR3hl9W1jLu9vbrw;scroll;238.39999389648438
30;2022-01-20 13:03:33.976000+00:00;sR3hl9W1jLu9vbrw;scroll;250.39999389648438
31;2022-01-20 13:03:33.983000+00:00;sR3hl9W1jLu9vbrw;scroll;261.6000061035156
32;2022-01-20 13:03:33.990000+00:00;sR3hl9W1jLu9vbrw;scroll;273.6000061035156
33;2022-01-20 13:03:33.997000+00:00;sR3hl9W1jLu9vbrw;scroll;284.79998779296875
34;2022-01-20 13:03:34.004000+00:00;sR3hl9W1jLu9vbrw;scroll;295.20001220703125
35;2022-01-20 13:03:34.011000+00:00;sR3hl9W1jLu9vbrw;scroll;304.79998779296875
36;2022-01-20 13:03:34.018000+00:00;sR3hl9W1jLu9vbrw;scroll;314.3999938964844
37;2022-01-20 13:03:34.025000+00:00;sR3hl9W1jLu9vbrw;scroll;324.0
38;2022-01-20 13:03:34.032000+00:00;sR3hl9W1jLu9vbrw;scroll;332.0
39;2022-01-20 13:03:34.039000+00:00;sR3hl9W1jLu9vbrw;scroll;340.0
40;2022-01-20 13:03:34.045000+00:00;sR3hl9W1jLu9vbrw;scroll;347.20001220703125
41;2022-01-20 13:03:34.052000+00:00;sR3hl9W1jLu9vbrw;scroll;354.3999938964844
42;2022-01-20 13:03:34.059000+00:00;sR3hl9W1jLu9vbrw;scroll;360.0
43;2022-01-20 13:03:34.066000+00:00;sR3hl9W1jLu9vbrw;scroll;365.6000061035156
44;2022-01-20 13:03:34.073000+00:00;sR3hl9W1jLu9vbrw;scroll;370.3999938964844
45;2022-01-20 13:03:34.080000+00:00;sR3hl9W1jLu9vbrw;scroll;374.3999938964844
46;2022-01-20 13:03:34.087000+00:00;sR3hl9W1jLu9vbrw;scroll;378.3999938964844
47;2022-01-20 13:03:34.094000+00:00;sR3hl9W1jLu9vbrw;scroll;380.79998779296875
48;2022-01-20 13:03:34.101000+00:00;sR3hl9W1jLu9vbrw;scroll;383.20001220703125
49;2022-01-20 13:03:34.108000+00:00;sR3hl9W1jLu9vbrw;scroll;385.6000061035156
50;2022-01-20 13:03:34.115000+00:00;sR3hl9W1jLu9vbrw;scroll;386.3999938964844
51;2022-01-20 13:03:34.122000+00:00;sR3hl9W1jLu9vbrw;scroll;387.20001220703125
52;2022-01-20 13:03:34.129000+00:00;sR3hl9W1jLu9vbrw;scroll;388.0
53;2022-01-20 13:03:46.511000+00:00;sR3hl9W1jLu9vbrw;scroll;388.79998779296875
54;2022-01-20 13:03:46.525000+00:00;sR3hl9W1jLu9vbrw;scroll;392.0
55;2022-01-20 13:03:46.532000+00:00;sR3hl9W1jLu9vbrw;scroll;396.0
56;2022-01-20 13:03:46.539000+00:00;sR3hl9W1jLu9vbrw;scroll;400.79998779296875
57;2022-01-20 13:03:46.545000+00:00;sR3hl9W1jLu9vbrw;scroll;407.20001220703125
58;2022-01-20 13:03:46.552000+00:00;sR3hl9W1jLu9vbrw;scroll;414.3999938964844
59;2022-01-20 13:03:46.559000+00:00;sR3hl9W1jLu9vbrw;scroll;420.79998779296875
60;2022-01-20 13:03:46.566000+00:00;sR3hl9W1jLu9vbrw;scroll;428.0
61;2022-01-20 13:03:46.573000+00:00;sR3hl9W1jLu9vbrw;scroll;435.20001220703125
62;2022-01-20 13:03:46.580000+00:00;sR3hl9W1jLu9vbrw;scroll;440.79998779296875
63;2022-01-20 13:03:46.587000+00:00;sR3hl9W1jLu9vbrw;scroll;447.20001220703125
64;2022-01-20 13:03:46.594000+00:00;sR3hl9W1jLu9vbrw;scroll;452.79998779296875
65;2022-01-20 13:03:46.601000+00:00;sR3hl9W1jLu9vbrw;scroll;459.20001220703125
66;2022-01-20 13:03:46.615000+00:00;sR3hl9W1jLu9vbrw;scroll;464.0
67;2022-01-20 13:03:46.622000+00:00;sR3hl9W1jLu9vbrw;scroll;468.0
68;2022-01-20 13:03:46.629000+00:00;sR3hl9W1jLu9vbrw;scroll;470.3999938964844
69;2022-01-20 13:03:46.636000+00:00;sR3hl9W1jLu9vbrw;scroll;472.0
70;2022-01-20 13:03:46.643000+00:00;sR3hl9W1jLu9vbrw;scroll;474.3999938964844
71;2022-01-20 13:03:46.649000+00:00;sR3hl9W1jLu9vbrw;scroll;476.0
72;2022-01-20 13:03:46.656000+00:00;sR3hl9W1jLu9vbrw;scroll;476.79998779296875
73;2022-01-20 13:03:46.663000+00:00;sR3hl9W1jLu9vbrw;scroll;479.20001220703125
74;2022-01-20 13:03:46.670000+00:00;sR3hl9W1jLu9vbrw;scroll;480.79998779296875
75;2022-01-20 13:03:46.677000+00:00;sR3hl9W1jLu9vbrw;scroll;483.20001220703125
76;2022-01-20 13:03:46.684000+00:00;sR3hl9W1jLu9vbrw;scroll;484.79998779296875
77;2022-01-20 13:03:46.691000+00:00;sR3hl9W1jLu9vbrw;scroll;486.3999938964844
78;2022-01-20 13:03:46.698000+00:00;sR3hl9W1jLu9vbrw;scroll;488.0
79;2022-01-20 13:03:46.705000+00:00;sR3hl9W1jLu9vbrw;scroll;490.3999938964844
80;2022-01-20 13:03:46.712000+00:00;sR3hl9W1jLu9vbrw;scroll;492.0
81;2022-01-20 13:03:46.719000+00:00;sR3hl9W1jLu9vbrw;scroll;492.79998779296875
82;2022-01-20 13:03:46.726000+00:00;sR3hl9W1jLu9vbrw;scroll;495.20001220703125
83;2022-01-20 13:03:46.733000+00:00;sR3hl9W1jLu9vbrw;scroll;496.0
84;2022-01-20 13:03:46.747000+00:00;sR3hl9W1jLu9vbrw;scroll;496.79998779296875
85;2022-01-20 13:03:46.816000+00:00;sR3hl9W1jLu9vbrw;scroll;498.3999938964844
86;2022-01-20 13:03:47.657000+00:00;sR3hl9W1jLu9vbrw;scroll;499.20001220703125
87;2022-01-20 13:03:47.677000+00:00;sR3hl9W1jLu9vbrw;scroll;500.79998779296875
88;2022-01-20 13:03:47.684000+00:00;sR3hl9W1jLu9vbrw;scroll;502.3999938964844
89;2022-01-20 13:03:47.691000+00:00;sR3hl9W1jLu9vbrw;scroll;504.0
90;2022-01-20 13:03:47.698000+00:00;sR3hl9W1jLu9vbrw;scroll;506.3999938964844
91;2022-01-20 13:03:47.705000+00:00;sR3hl9W1jLu9vbrw;scroll;508.0
92;2022-01-20 13:03:47.712000+00:00;sR3hl9W1jLu9vbrw;scroll;510.3999938964844
93;2022-01-20 13:03:47.719000+00:00;sR3hl9W1jLu9vbrw;scroll;512.0
