;time;token;event;position
0;2022-01-13 12:43:34.710000+00:00;su3i3ZvGPf0DoYDC;scroll;0
1;2022-01-13 12:44:06.642000+00:00;su3i3ZvGPf0DoYDC;scroll;3
2;2022-01-13 12:44:06.659000+00:00;su3i3ZvGPf0DoYDC;scroll;9
3;2022-01-13 12:44:06.676000+00:00;su3i3ZvGPf0DoYDC;scroll;23
4;2022-01-13 12:44:06.692000+00:00;su3i3ZvGPf0DoYDC;scroll;49
5;2022-01-13 12:44:06.709000+00:00;su3i3ZvGPf0DoYDC;scroll;90
6;2022-01-13 12:44:06.725000+00:00;su3i3ZvGPf0DoYDC;scroll;148
7;2022-01-13 12:44:06.742000+00:00;su3i3ZvGPf0DoYDC;scroll;217
8;2022-01-13 12:44:06.758000+00:00;su3i3ZvGPf0DoYDC;scroll;290
9;2022-01-13 12:44:06.775000+00:00;su3i3ZvGPf0DoYDC;scroll;367
10;2022-01-13 12:44:06.792000+00:00;su3i3ZvGPf0DoYDC;scroll;443
11;2022-01-13 12:44:06.808000+00:00;su3i3ZvGPf0DoYDC;scroll;519
12;2022-01-13 12:44:06.825000+00:00;su3i3ZvGPf0DoYDC;scroll;595
13;2022-01-13 12:44:06.842000+00:00;su3i3ZvGPf0DoYDC;scroll;671
14;2022-01-13 12:44:06.858000+00:00;su3i3ZvGPf0DoYDC;scroll;747
15;2022-01-13 12:44:06.875000+00:00;su3i3ZvGPf0DoYDC;scroll;824
16;2022-01-13 12:44:07.109000+00:00;su3i3ZvGPf0DoYDC;scroll;823
17;2022-01-13 12:44:07.125000+00:00;su3i3ZvGPf0DoYDC;scroll;822
18;2022-01-13 12:44:07.142000+00:00;su3i3ZvGPf0DoYDC;scroll;819
19;2022-01-13 12:44:07.159000+00:00;su3i3ZvGPf0DoYDC;scroll;816
20;2022-01-13 12:44:07.175000+00:00;su3i3ZvGPf0DoYDC;scroll;812
21;2022-01-13 12:44:07.192000+00:00;su3i3ZvGPf0DoYDC;scroll;807
22;2022-01-13 12:44:07.209000+00:00;su3i3ZvGPf0DoYDC;scroll;802
23;2022-01-13 12:44:07.242000+00:00;su3i3ZvGPf0DoYDC;scroll;801
24;2022-01-13 12:44:07.259000+00:00;su3i3ZvGPf0DoYDC;scroll;796
25;2022-01-13 12:44:07.276000+00:00;su3i3ZvGPf0DoYDC;scroll;783
26;2022-01-13 12:44:07.293000+00:00;su3i3ZvGPf0DoYDC;scroll;755
27;2022-01-13 12:44:07.309000+00:00;su3i3ZvGPf0DoYDC;scroll;706
28;2022-01-13 12:44:07.326000+00:00;su3i3ZvGPf0DoYDC;scroll;631
29;2022-01-13 12:44:07.343000+00:00;su3i3ZvGPf0DoYDC;scroll;528
30;2022-01-13 12:44:07.359000+00:00;su3i3ZvGPf0DoYDC;scroll;404
31;2022-01-13 12:44:07.376000+00:00;su3i3ZvGPf0DoYDC;scroll;267
32;2022-01-13 12:44:07.392000+00:00;su3i3ZvGPf0DoYDC;scroll;125
33;2022-01-13 12:44:07.409000+00:00;su3i3ZvGPf0DoYDC;scroll;0
34;2022-01-13 12:44:08.961000+00:00;su3i3ZvGPf0DoYDC;scroll;1
35;2022-01-13 12:44:08.994000+00:00;su3i3ZvGPf0DoYDC;scroll;2
36;2022-01-13 12:44:09.028000+00:00;su3i3ZvGPf0DoYDC;scroll;3
37;2022-01-13 12:44:09.045000+00:00;su3i3ZvGPf0DoYDC;scroll;4
38;2022-01-13 12:44:09.078000+00:00;su3i3ZvGPf0DoYDC;scroll;5
39;2022-01-13 12:44:09.094000+00:00;su3i3ZvGPf0DoYDC;scroll;6
40;2022-01-13 12:44:09.111000+00:00;su3i3ZvGPf0DoYDC;scroll;8
41;2022-01-13 12:44:09.128000+00:00;su3i3ZvGPf0DoYDC;scroll;9
42;2022-01-13 12:44:09.145000+00:00;su3i3ZvGPf0DoYDC;scroll;10
43;2022-01-13 12:44:09.161000+00:00;su3i3ZvGPf0DoYDC;scroll;12
44;2022-01-13 12:44:09.177000+00:00;su3i3ZvGPf0DoYDC;scroll;14
45;2022-01-13 12:44:09.195000+00:00;su3i3ZvGPf0DoYDC;scroll;16
46;2022-01-13 12:44:09.211000+00:00;su3i3ZvGPf0DoYDC;scroll;18
47;2022-01-13 12:44:09.228000+00:00;su3i3ZvGPf0DoYDC;scroll;20
48;2022-01-13 12:44:09.245000+00:00;su3i3ZvGPf0DoYDC;scroll;22
49;2022-01-13 12:44:09.261000+00:00;su3i3ZvGPf0DoYDC;scroll;24
50;2022-01-13 12:44:09.278000+00:00;su3i3ZvGPf0DoYDC;scroll;26
51;2022-01-13 12:44:09.295000+00:00;su3i3ZvGPf0DoYDC;scroll;28
52;2022-01-13 12:44:09.312000+00:00;su3i3ZvGPf0DoYDC;scroll;30
53;2022-01-13 12:44:09.328000+00:00;su3i3ZvGPf0DoYDC;scroll;32
54;2022-01-13 12:44:09.345000+00:00;su3i3ZvGPf0DoYDC;scroll;34
55;2022-01-13 12:44:09.361000+00:00;su3i3ZvGPf0DoYDC;scroll;36
56;2022-01-13 12:44:09.378000+00:00;su3i3ZvGPf0DoYDC;scroll;38
57;2022-01-13 12:44:09.395000+00:00;su3i3ZvGPf0DoYDC;scroll;40
58;2022-01-13 12:44:09.411000+00:00;su3i3ZvGPf0DoYDC;scroll;42
59;2022-01-13 12:44:09.428000+00:00;su3i3ZvGPf0DoYDC;scroll;44
60;2022-01-13 12:44:09.445000+00:00;su3i3ZvGPf0DoYDC;scroll;46
61;2022-01-13 12:44:09.461000+00:00;su3i3ZvGPf0DoYDC;scroll;48
62;2022-01-13 12:44:09.478000+00:00;su3i3ZvGPf0DoYDC;scroll;50
63;2022-01-13 12:44:09.495000+00:00;su3i3ZvGPf0DoYDC;scroll;52
64;2022-01-13 12:44:09.512000+00:00;su3i3ZvGPf0DoYDC;scroll;54
65;2022-01-13 12:44:09.528000+00:00;su3i3ZvGPf0DoYDC;scroll;56
66;2022-01-13 12:44:09.545000+00:00;su3i3ZvGPf0DoYDC;scroll;58
67;2022-01-13 12:44:09.562000+00:00;su3i3ZvGPf0DoYDC;scroll;60
68;2022-01-13 12:44:09.578000+00:00;su3i3ZvGPf0DoYDC;scroll;62
69;2022-01-13 12:44:09.595000+00:00;su3i3ZvGPf0DoYDC;scroll;64
70;2022-01-13 12:44:09.612000+00:00;su3i3ZvGPf0DoYDC;scroll;66
71;2022-01-13 12:44:09.628000+00:00;su3i3ZvGPf0DoYDC;scroll;68
72;2022-01-13 12:44:09.645000+00:00;su3i3ZvGPf0DoYDC;scroll;70
73;2022-01-13 12:44:09.662000+00:00;su3i3ZvGPf0DoYDC;scroll;72
74;2022-01-13 12:44:09.678000+00:00;su3i3ZvGPf0DoYDC;scroll;74
75;2022-01-13 12:44:09.695000+00:00;su3i3ZvGPf0DoYDC;scroll;76
76;2022-01-13 12:44:09.712000+00:00;su3i3ZvGPf0DoYDC;scroll;78
77;2022-01-13 12:44:09.728000+00:00;su3i3ZvGPf0DoYDC;scroll;80
78;2022-01-13 12:44:09.745000+00:00;su3i3ZvGPf0DoYDC;scroll;82
79;2022-01-13 12:44:09.762000+00:00;su3i3ZvGPf0DoYDC;scroll;84
80;2022-01-13 12:44:09.779000+00:00;su3i3ZvGPf0DoYDC;scroll;86
81;2022-01-13 12:44:09.795000+00:00;su3i3ZvGPf0DoYDC;scroll;88
82;2022-01-13 12:44:09.812000+00:00;su3i3ZvGPf0DoYDC;scroll;90
83;2022-01-13 12:44:09.829000+00:00;su3i3ZvGPf0DoYDC;scroll;92
84;2022-01-13 12:44:09.845000+00:00;su3i3ZvGPf0DoYDC;scroll;94
85;2022-01-13 12:44:09.862000+00:00;su3i3ZvGPf0DoYDC;scroll;96
86;2022-01-13 12:44:09.879000+00:00;su3i3ZvGPf0DoYDC;scroll;98
87;2022-01-13 12:44:09.895000+00:00;su3i3ZvGPf0DoYDC;scroll;100
88;2022-01-13 12:44:09.912000+00:00;su3i3ZvGPf0DoYDC;scroll;102
89;2022-01-13 12:44:09.929000+00:00;su3i3ZvGPf0DoYDC;scroll;104
90;2022-01-13 12:44:09.945000+00:00;su3i3ZvGPf0DoYDC;scroll;106
91;2022-01-13 12:44:09.962000+00:00;su3i3ZvGPf0DoYDC;scroll;108
92;2022-01-13 12:44:09.979000+00:00;su3i3ZvGPf0DoYDC;scroll;110
93;2022-01-13 12:44:09.995000+00:00;su3i3ZvGPf0DoYDC;scroll;112
94;2022-01-13 12:44:10.012000+00:00;su3i3ZvGPf0DoYDC;scroll;114
95;2022-01-13 12:44:10.029000+00:00;su3i3ZvGPf0DoYDC;scroll;116
96;2022-01-13 12:44:10.045000+00:00;su3i3ZvGPf0DoYDC;scroll;118
97;2022-01-13 12:44:10.062000+00:00;su3i3ZvGPf0DoYDC;scroll;120
98;2022-01-13 12:44:10.079000+00:00;su3i3ZvGPf0DoYDC;scroll;122
99;2022-01-13 12:44:10.095000+00:00;su3i3ZvGPf0DoYDC;scroll;124
100;2022-01-13 12:44:10.112000+00:00;su3i3ZvGPf0DoYDC;scroll;126
101;2022-01-13 12:44:10.129000+00:00;su3i3ZvGPf0DoYDC;scroll;128
102;2022-01-13 12:44:10.145000+00:00;su3i3ZvGPf0DoYDC;scroll;130
103;2022-01-13 12:44:10.162000+00:00;su3i3ZvGPf0DoYDC;scroll;132
104;2022-01-13 12:44:10.179000+00:00;su3i3ZvGPf0DoYDC;scroll;134
105;2022-01-13 12:44:10.196000+00:00;su3i3ZvGPf0DoYDC;scroll;136
106;2022-01-13 12:44:10.212000+00:00;su3i3ZvGPf0DoYDC;scroll;138
107;2022-01-13 12:44:10.229000+00:00;su3i3ZvGPf0DoYDC;scroll;140
108;2022-01-13 12:44:13.916000+00:00;su3i3ZvGPf0DoYDC;scroll;139
109;2022-01-13 12:44:13.950000+00:00;su3i3ZvGPf0DoYDC;scroll;138
110;2022-01-13 12:44:13.966000+00:00;su3i3ZvGPf0DoYDC;scroll;137
111;2022-01-13 12:44:13.983000+00:00;su3i3ZvGPf0DoYDC;scroll;136
112;2022-01-13 12:44:13.999000+00:00;su3i3ZvGPf0DoYDC;scroll;134
113;2022-01-13 12:44:14.016000+00:00;su3i3ZvGPf0DoYDC;scroll;133
114;2022-01-13 12:44:14.033000+00:00;su3i3ZvGPf0DoYDC;scroll;131
115;2022-01-13 12:44:14.049000+00:00;su3i3ZvGPf0DoYDC;scroll;130
116;2022-01-13 12:44:14.066000+00:00;su3i3ZvGPf0DoYDC;scroll;129
117;2022-01-13 12:44:14.083000+00:00;su3i3ZvGPf0DoYDC;scroll;127
118;2022-01-13 12:44:14.099000+00:00;su3i3ZvGPf0DoYDC;scroll;126
119;2022-01-13 12:44:14.116000+00:00;su3i3ZvGPf0DoYDC;scroll;125
120;2022-01-13 12:44:14.133000+00:00;su3i3ZvGPf0DoYDC;scroll;123
121;2022-01-13 12:44:14.150000+00:00;su3i3ZvGPf0DoYDC;scroll;122
122;2022-01-13 12:44:14.166000+00:00;su3i3ZvGPf0DoYDC;scroll;120
123;2022-01-13 12:44:14.183000+00:00;su3i3ZvGPf0DoYDC;scroll;119
124;2022-01-13 12:44:14.199000+00:00;su3i3ZvGPf0DoYDC;scroll;118
125;2022-01-13 12:44:14.216000+00:00;su3i3ZvGPf0DoYDC;scroll;116
126;2022-01-13 12:44:14.233000+00:00;su3i3ZvGPf0DoYDC;scroll;115
127;2022-01-13 12:44:14.250000+00:00;su3i3ZvGPf0DoYDC;scroll;114
128;2022-01-13 12:44:14.266000+00:00;su3i3ZvGPf0DoYDC;scroll;112
129;2022-01-13 12:44:14.283000+00:00;su3i3ZvGPf0DoYDC;scroll;111
130;2022-01-13 12:44:14.300000+00:00;su3i3ZvGPf0DoYDC;scroll;110
131;2022-01-13 12:44:14.316000+00:00;su3i3ZvGPf0DoYDC;scroll;108
132;2022-01-13 12:44:14.333000+00:00;su3i3ZvGPf0DoYDC;scroll;107
133;2022-01-13 12:44:14.350000+00:00;su3i3ZvGPf0DoYDC;scroll;105
134;2022-01-13 12:44:14.366000+00:00;su3i3ZvGPf0DoYDC;scroll;104
135;2022-01-13 12:44:14.383000+00:00;su3i3ZvGPf0DoYDC;scroll;103
136;2022-01-13 12:44:14.400000+00:00;su3i3ZvGPf0DoYDC;scroll;101
137;2022-01-13 12:44:14.416000+00:00;su3i3ZvGPf0DoYDC;scroll;100
138;2022-01-13 12:44:14.433000+00:00;su3i3ZvGPf0DoYDC;scroll;99
139;2022-01-13 12:44:14.450000+00:00;su3i3ZvGPf0DoYDC;scroll;97
140;2022-01-13 12:44:14.466000+00:00;su3i3ZvGPf0DoYDC;scroll;96
141;2022-01-13 12:44:14.483000+00:00;su3i3ZvGPf0DoYDC;scroll;95
142;2022-01-13 12:44:14.500000+00:00;su3i3ZvGPf0DoYDC;scroll;93
143;2022-01-13 12:44:14.517000+00:00;su3i3ZvGPf0DoYDC;scroll;92
144;2022-01-13 12:44:14.533000+00:00;su3i3ZvGPf0DoYDC;scroll;90
145;2022-01-13 12:44:14.550000+00:00;su3i3ZvGPf0DoYDC;scroll;89
146;2022-01-13 12:44:14.567000+00:00;su3i3ZvGPf0DoYDC;scroll;88
147;2022-01-13 12:44:14.583000+00:00;su3i3ZvGPf0DoYDC;scroll;86
148;2022-01-13 12:44:14.600000+00:00;su3i3ZvGPf0DoYDC;scroll;85
149;2022-01-13 12:44:14.617000+00:00;su3i3ZvGPf0DoYDC;scroll;84
150;2022-01-13 12:44:14.633000+00:00;su3i3ZvGPf0DoYDC;scroll;82
151;2022-01-13 12:44:14.650000+00:00;su3i3ZvGPf0DoYDC;scroll;81
152;2022-01-13 12:44:14.667000+00:00;su3i3ZvGPf0DoYDC;scroll;79
153;2022-01-13 12:44:14.683000+00:00;su3i3ZvGPf0DoYDC;scroll;78
