;time;token;event;position
0;2022-01-20 13:38:21.077000+00:00;vLif1iqi7h8Ql0e6;scroll;0
1;2022-01-20 13:38:21.089000+00:00;vLif1iqi7h8Ql0e6;scroll;82
2;2022-01-20 13:38:23.794000+00:00;vLif1iqi7h8Ql0e6;scroll;93
3;2022-01-20 13:38:23.806000+00:00;vLif1iqi7h8Ql0e6;scroll;115
4;2022-01-20 13:38:23.823000+00:00;vLif1iqi7h8Ql0e6;scroll;165
5;2022-01-20 13:38:23.839000+00:00;vLif1iqi7h8Ql0e6;scroll;222
6;2022-01-20 13:38:23.856000+00:00;vLif1iqi7h8Ql0e6;scroll;287
7;2022-01-20 13:38:23.872000+00:00;vLif1iqi7h8Ql0e6;scroll;348
8;2022-01-20 13:38:23.889000+00:00;vLif1iqi7h8Ql0e6;scroll;405
9;2022-01-20 13:38:23.906000+00:00;vLif1iqi7h8Ql0e6;scroll;457
10;2022-01-20 13:38:23.922000+00:00;vLif1iqi7h8Ql0e6;scroll;529
11;2022-01-20 13:38:23.939000+00:00;vLif1iqi7h8Ql0e6;scroll;598
12;2022-01-20 13:38:23.956000+00:00;vLif1iqi7h8Ql0e6;scroll;665
13;2022-01-20 13:38:23.973000+00:00;vLif1iqi7h8Ql0e6;scroll;730
14;2022-01-20 13:38:23.989000+00:00;vLif1iqi7h8Ql0e6;scroll;793
15;2022-01-20 13:38:24.006000+00:00;vLif1iqi7h8Ql0e6;scroll;853
16;2022-01-20 13:38:24.023000+00:00;vLif1iqi7h8Ql0e6;scroll;912
17;2022-01-20 13:38:24.040000+00:00;vLif1iqi7h8Ql0e6;scroll;969
18;2022-01-20 13:38:24.056000+00:00;vLif1iqi7h8Ql0e6;scroll;1024
19;2022-01-20 13:38:24.073000+00:00;vLif1iqi7h8Ql0e6;scroll;1077
20;2022-01-20 13:38:24.090000+00:00;vLif1iqi7h8Ql0e6;scroll;1129
21;2022-01-20 13:38:24.106000+00:00;vLif1iqi7h8Ql0e6;scroll;1179
22;2022-01-20 13:38:24.123000+00:00;vLif1iqi7h8Ql0e6;scroll;1227
23;2022-01-20 13:38:24.140000+00:00;vLif1iqi7h8Ql0e6;scroll;1273
24;2022-01-20 13:38:24.156000+00:00;vLif1iqi7h8Ql0e6;scroll;1318
25;2022-01-20 13:38:24.173000+00:00;vLif1iqi7h8Ql0e6;scroll;1362
26;2022-01-20 13:38:24.190000+00:00;vLif1iqi7h8Ql0e6;scroll;1404
27;2022-01-20 13:38:24.206000+00:00;vLif1iqi7h8Ql0e6;scroll;1445
28;2022-01-20 13:38:24.223000+00:00;vLif1iqi7h8Ql0e6;scroll;1484
29;2022-01-20 13:38:24.240000+00:00;vLif1iqi7h8Ql0e6;scroll;1522
30;2022-01-20 13:38:24.257000+00:00;vLif1iqi7h8Ql0e6;scroll;1559
31;2022-01-20 13:38:24.273000+00:00;vLif1iqi7h8Ql0e6;scroll;1595
32;2022-01-20 13:38:24.290000+00:00;vLif1iqi7h8Ql0e6;scroll;1629
33;2022-01-20 13:38:24.306000+00:00;vLif1iqi7h8Ql0e6;scroll;1662
34;2022-01-20 13:38:24.323000+00:00;vLif1iqi7h8Ql0e6;scroll;1695
35;2022-01-20 13:38:24.340000+00:00;vLif1iqi7h8Ql0e6;scroll;1726
36;2022-01-20 13:38:24.356000+00:00;vLif1iqi7h8Ql0e6;scroll;1756
37;2022-01-20 13:38:24.373000+00:00;vLif1iqi7h8Ql0e6;scroll;1785
38;2022-01-20 13:38:24.390000+00:00;vLif1iqi7h8Ql0e6;scroll;1813
39;2022-01-20 13:38:24.407000+00:00;vLif1iqi7h8Ql0e6;scroll;1840
40;2022-01-20 13:38:24.423000+00:00;vLif1iqi7h8Ql0e6;scroll;1867
41;2022-01-20 13:38:24.440000+00:00;vLif1iqi7h8Ql0e6;scroll;1893
42;2022-01-20 13:38:24.456000+00:00;vLif1iqi7h8Ql0e6;scroll;1917
43;2022-01-20 13:38:24.473000+00:00;vLif1iqi7h8Ql0e6;scroll;1941
44;2022-01-20 13:38:24.490000+00:00;vLif1iqi7h8Ql0e6;scroll;1965
45;2022-01-20 13:38:24.507000+00:00;vLif1iqi7h8Ql0e6;scroll;1987
46;2022-01-20 13:38:24.523000+00:00;vLif1iqi7h8Ql0e6;scroll;2008
47;2022-01-20 13:38:24.540000+00:00;vLif1iqi7h8Ql0e6;scroll;2029
48;2022-01-20 13:38:24.557000+00:00;vLif1iqi7h8Ql0e6;scroll;2049
49;2022-01-20 13:38:24.573000+00:00;vLif1iqi7h8Ql0e6;scroll;2069
50;2022-01-20 13:38:24.590000+00:00;vLif1iqi7h8Ql0e6;scroll;2088
51;2022-01-20 13:38:24.607000+00:00;vLif1iqi7h8Ql0e6;scroll;2106
52;2022-01-20 13:38:24.623000+00:00;vLif1iqi7h8Ql0e6;scroll;2124
53;2022-01-20 13:38:24.640000+00:00;vLif1iqi7h8Ql0e6;scroll;2141
54;2022-01-20 13:38:24.657000+00:00;vLif1iqi7h8Ql0e6;scroll;2157
55;2022-01-20 13:38:24.673000+00:00;vLif1iqi7h8Ql0e6;scroll;2173
56;2022-01-20 13:38:24.690000+00:00;vLif1iqi7h8Ql0e6;scroll;2189
57;2022-01-20 13:38:24.707000+00:00;vLif1iqi7h8Ql0e6;scroll;2204
58;2022-01-20 13:38:24.723000+00:00;vLif1iqi7h8Ql0e6;scroll;2218
59;2022-01-20 13:38:24.740000+00:00;vLif1iqi7h8Ql0e6;scroll;2232
60;2022-01-20 13:38:24.756000+00:00;vLif1iqi7h8Ql0e6;scroll;2246
61;2022-01-20 13:38:24.773000+00:00;vLif1iqi7h8Ql0e6;scroll;2259
62;2022-01-20 13:38:24.790000+00:00;vLif1iqi7h8Ql0e6;scroll;2271
63;2022-01-20 13:38:24.806000+00:00;vLif1iqi7h8Ql0e6;scroll;2279
64;2022-01-20 13:38:24.823000+00:00;vLif1iqi7h8Ql0e6;scroll;2285
65;2022-01-20 13:38:24.840000+00:00;vLif1iqi7h8Ql0e6;scroll;2288
66;2022-01-20 13:38:24.857000+00:00;vLif1iqi7h8Ql0e6;scroll;2290
67;2022-01-20 13:38:24.891000+00:00;vLif1iqi7h8Ql0e6;scroll;2289
68;2022-01-20 13:38:24.923000+00:00;vLif1iqi7h8Ql0e6;scroll;2287
69;2022-01-20 13:38:24.940000+00:00;vLif1iqi7h8Ql0e6;scroll;2286
