;time;token;event;position
0;2022-01-13 13:58:31.314000+00:00;vd9igoOnVdIjL5dU;scroll;0
1;2022-01-13 13:59:27.657000+00:00;vd9igoOnVdIjL5dU;scroll;1
2;2022-01-13 13:59:27.659000+00:00;vd9igoOnVdIjL5dU;scroll;4
3;2022-01-13 13:59:27.666000+00:00;vd9igoOnVdIjL5dU;scroll;12
4;2022-01-13 13:59:27.673000+00:00;vd9igoOnVdIjL5dU;scroll;27
5;2022-01-13 13:59:27.680000+00:00;vd9igoOnVdIjL5dU;scroll;45
6;2022-01-13 13:59:27.687000+00:00;vd9igoOnVdIjL5dU;scroll;61
7;2022-01-13 13:59:27.694000+00:00;vd9igoOnVdIjL5dU;scroll;75
8;2022-01-13 13:59:27.701000+00:00;vd9igoOnVdIjL5dU;scroll;85
9;2022-01-13 13:59:27.708000+00:00;vd9igoOnVdIjL5dU;scroll;94
10;2022-01-13 13:59:27.715000+00:00;vd9igoOnVdIjL5dU;scroll;102
11;2022-01-13 13:59:27.722000+00:00;vd9igoOnVdIjL5dU;scroll;108
12;2022-01-13 13:59:27.728000+00:00;vd9igoOnVdIjL5dU;scroll;113
13;2022-01-13 13:59:27.735000+00:00;vd9igoOnVdIjL5dU;scroll;118
14;2022-01-13 13:59:27.742000+00:00;vd9igoOnVdIjL5dU;scroll;122
15;2022-01-13 13:59:27.749000+00:00;vd9igoOnVdIjL5dU;scroll;125
16;2022-01-13 13:59:27.756000+00:00;vd9igoOnVdIjL5dU;scroll;128
17;2022-01-13 13:59:27.763000+00:00;vd9igoOnVdIjL5dU;scroll;131
18;2022-01-13 13:59:27.771000+00:00;vd9igoOnVdIjL5dU;scroll;133
19;2022-01-13 13:59:27.777000+00:00;vd9igoOnVdIjL5dU;scroll;135
20;2022-01-13 13:59:27.784000+00:00;vd9igoOnVdIjL5dU;scroll;137
21;2022-01-13 13:59:27.791000+00:00;vd9igoOnVdIjL5dU;scroll;139
22;2022-01-13 13:59:27.798000+00:00;vd9igoOnVdIjL5dU;scroll;140
23;2022-01-13 13:59:27.805000+00:00;vd9igoOnVdIjL5dU;scroll;141
24;2022-01-13 13:59:27.812000+00:00;vd9igoOnVdIjL5dU;scroll;142
25;2022-01-13 13:59:27.819000+00:00;vd9igoOnVdIjL5dU;scroll;143
26;2022-01-13 13:59:27.826000+00:00;vd9igoOnVdIjL5dU;scroll;144
27;2022-01-13 13:59:27.840000+00:00;vd9igoOnVdIjL5dU;scroll;145
28;2022-01-13 13:59:41.602000+00:00;vd9igoOnVdIjL5dU;scroll;146
29;2022-01-13 13:59:41.624000+00:00;vd9igoOnVdIjL5dU;scroll;190
30;2022-01-13 13:59:41.631000+00:00;vd9igoOnVdIjL5dU;scroll;206
31;2022-01-13 13:59:41.638000+00:00;vd9igoOnVdIjL5dU;scroll;220
