;time;token;event;position
0;2022-01-13 12:43:57.649000+00:00;xSWJnBUBlvP0a07O;scroll;0
1;2022-01-13 12:44:35.057000+00:00;xSWJnBUBlvP0a07O;scroll;1
2;2022-01-13 12:44:35.076000+00:00;xSWJnBUBlvP0a07O;scroll;7
3;2022-01-13 12:44:35.096000+00:00;xSWJnBUBlvP0a07O;scroll;34
4;2022-01-13 12:44:35.125000+00:00;xSWJnBUBlvP0a07O;scroll;60
5;2022-01-13 12:44:35.144000+00:00;xSWJnBUBlvP0a07O;scroll;114
6;2022-01-13 12:44:35.162000+00:00;xSWJnBUBlvP0a07O;scroll;173
7;2022-01-13 12:44:35.164000+00:00;xSWJnBUBlvP0a07O;scroll;279
8;2022-01-13 12:44:35.179000+00:00;xSWJnBUBlvP0a07O;scroll;377
9;2022-01-13 12:44:35.210000+00:00;xSWJnBUBlvP0a07O;scroll;464
10;2022-01-13 12:44:35.216000+00:00;xSWJnBUBlvP0a07O;scroll;521
11;2022-01-13 12:44:35.266000+00:00;xSWJnBUBlvP0a07O;scroll;570
12;2022-01-13 12:44:35.300000+00:00;xSWJnBUBlvP0a07O;scroll;574
13;2022-01-13 12:44:35.309000+00:00;xSWJnBUBlvP0a07O;scroll;584
14;2022-01-13 12:44:35.318000+00:00;xSWJnBUBlvP0a07O;scroll;597
15;2022-01-13 12:44:35.326000+00:00;xSWJnBUBlvP0a07O;scroll;611
16;2022-01-13 12:44:35.369000+00:00;xSWJnBUBlvP0a07O;scroll;624
17;2022-01-13 12:44:35.382000+00:00;xSWJnBUBlvP0a07O;scroll;638
18;2022-01-13 12:44:35.413000+00:00;xSWJnBUBlvP0a07O;scroll;672
19;2022-01-13 12:44:35.435000+00:00;xSWJnBUBlvP0a07O;scroll;679
20;2022-01-13 12:44:35.450000+00:00;xSWJnBUBlvP0a07O;scroll;683
21;2022-01-13 12:44:35.463000+00:00;xSWJnBUBlvP0a07O;scroll;684
22;2022-01-13 12:44:35.606000+00:00;xSWJnBUBlvP0a07O;scroll;687
23;2022-01-13 12:44:35.640000+00:00;xSWJnBUBlvP0a07O;scroll;696
24;2022-01-13 12:44:35.663000+00:00;xSWJnBUBlvP0a07O;scroll;750
25;2022-01-13 12:44:35.699000+00:00;xSWJnBUBlvP0a07O;scroll;869
26;2022-01-13 12:44:35.709000+00:00;xSWJnBUBlvP0a07O;scroll;907
27;2022-01-13 12:44:35.729000+00:00;xSWJnBUBlvP0a07O;scroll;930
28;2022-01-13 12:44:36.329000+00:00;xSWJnBUBlvP0a07O;scroll;929
29;2022-01-13 12:44:36.345000+00:00;xSWJnBUBlvP0a07O;scroll;924
30;2022-01-13 12:44:36.392000+00:00;xSWJnBUBlvP0a07O;scroll;753
31;2022-01-13 12:44:36.420000+00:00;xSWJnBUBlvP0a07O;scroll;404
32;2022-01-13 12:44:36.433000+00:00;xSWJnBUBlvP0a07O;scroll;311
33;2022-01-13 12:44:36.452000+00:00;xSWJnBUBlvP0a07O;scroll;256
34;2022-01-13 12:44:36.459000+00:00;xSWJnBUBlvP0a07O;scroll;246
35;2022-01-13 12:44:36.717000+00:00;xSWJnBUBlvP0a07O;scroll;245
36;2022-01-13 12:44:36.734000+00:00;xSWJnBUBlvP0a07O;scroll;238
37;2022-01-13 12:44:36.756000+00:00;xSWJnBUBlvP0a07O;scroll;215
38;2022-01-13 12:44:36.775000+00:00;xSWJnBUBlvP0a07O;scroll;159
39;2022-01-13 12:44:36.781000+00:00;xSWJnBUBlvP0a07O;scroll;69
40;2022-01-13 12:44:36.801000+00:00;xSWJnBUBlvP0a07O;scroll;10
41;2022-01-13 12:44:36.813000+00:00;xSWJnBUBlvP0a07O;scroll;0
42;2022-01-13 12:45:40.928000+00:00;xSWJnBUBlvP0a07O;scroll;4
43;2022-01-13 12:45:40.945000+00:00;xSWJnBUBlvP0a07O;scroll;13
44;2022-01-13 12:45:40.997000+00:00;xSWJnBUBlvP0a07O;scroll;39
45;2022-01-13 12:45:41.006000+00:00;xSWJnBUBlvP0a07O;scroll;53
46;2022-01-13 12:45:41.031000+00:00;xSWJnBUBlvP0a07O;scroll;70
