;time;token;event;position
0;2022-01-13 12:43:48.191000+00:00;xubbgLcQCqnXqt8f;scroll;0
1;2022-01-13 12:44:37.514000+00:00;xubbgLcQCqnXqt8f;scroll;1
2;2022-01-13 12:44:37.521000+00:00;xubbgLcQCqnXqt8f;scroll;2
3;2022-01-13 12:44:37.527000+00:00;xubbgLcQCqnXqt8f;scroll;4
4;2022-01-13 12:44:37.534000+00:00;xubbgLcQCqnXqt8f;scroll;6
5;2022-01-13 12:44:37.541000+00:00;xubbgLcQCqnXqt8f;scroll;9
6;2022-01-13 12:44:37.548000+00:00;xubbgLcQCqnXqt8f;scroll;12
7;2022-01-13 12:44:37.555000+00:00;xubbgLcQCqnXqt8f;scroll;16
8;2022-01-13 12:44:37.562000+00:00;xubbgLcQCqnXqt8f;scroll;21
9;2022-01-13 12:44:37.569000+00:00;xubbgLcQCqnXqt8f;scroll;26
10;2022-01-13 12:44:37.576000+00:00;xubbgLcQCqnXqt8f;scroll;31
11;2022-01-13 12:44:37.583000+00:00;xubbgLcQCqnXqt8f;scroll;37
12;2022-01-13 12:44:37.590000+00:00;xubbgLcQCqnXqt8f;scroll;42
13;2022-01-13 12:44:37.597000+00:00;xubbgLcQCqnXqt8f;scroll;48
14;2022-01-13 12:44:37.604000+00:00;xubbgLcQCqnXqt8f;scroll;54
15;2022-01-13 12:44:37.611000+00:00;xubbgLcQCqnXqt8f;scroll;60
16;2022-01-13 12:44:37.618000+00:00;xubbgLcQCqnXqt8f;scroll;66
17;2022-01-13 12:44:37.625000+00:00;xubbgLcQCqnXqt8f;scroll;71
18;2022-01-13 12:44:37.632000+00:00;xubbgLcQCqnXqt8f;scroll;77
19;2022-01-13 12:44:37.639000+00:00;xubbgLcQCqnXqt8f;scroll;81
20;2022-01-13 12:44:37.646000+00:00;xubbgLcQCqnXqt8f;scroll;85
21;2022-01-13 12:44:37.653000+00:00;xubbgLcQCqnXqt8f;scroll;89
22;2022-01-13 12:44:37.659000+00:00;xubbgLcQCqnXqt8f;scroll;92
23;2022-01-13 12:44:37.667000+00:00;xubbgLcQCqnXqt8f;scroll;95
24;2022-01-13 12:44:37.673000+00:00;xubbgLcQCqnXqt8f;scroll;97
