;time;token;event;position
0;2022-01-13 12:43:43.524000+00:00;yurieOwomqoXeqmo;scroll;0
1;2022-01-13 12:44:10.492000+00:00;yurieOwomqoXeqmo;scroll;1
2;2022-01-13 12:44:10.508000+00:00;yurieOwomqoXeqmo;scroll;6
3;2022-01-13 12:44:10.525000+00:00;yurieOwomqoXeqmo;scroll;13
4;2022-01-13 12:44:10.541000+00:00;yurieOwomqoXeqmo;scroll;24
5;2022-01-13 12:44:10.558000+00:00;yurieOwomqoXeqmo;scroll;41
6;2022-01-13 12:44:10.575000+00:00;yurieOwomqoXeqmo;scroll;67
7;2022-01-13 12:44:10.592000+00:00;yurieOwomqoXeqmo;scroll;103
8;2022-01-13 12:44:10.608000+00:00;yurieOwomqoXeqmo;scroll;149
9;2022-01-13 12:44:10.625000+00:00;yurieOwomqoXeqmo;scroll;205
10;2022-01-13 12:44:10.642000+00:00;yurieOwomqoXeqmo;scroll;269
11;2022-01-13 12:44:10.658000+00:00;yurieOwomqoXeqmo;scroll;338
12;2022-01-13 12:44:10.675000+00:00;yurieOwomqoXeqmo;scroll;403
13;2022-01-13 12:44:10.691000+00:00;yurieOwomqoXeqmo;scroll;462
14;2022-01-13 12:44:10.708000+00:00;yurieOwomqoXeqmo;scroll;512
15;2022-01-13 12:44:10.725000+00:00;yurieOwomqoXeqmo;scroll;550
16;2022-01-13 12:44:10.741000+00:00;yurieOwomqoXeqmo;scroll;576
17;2022-01-13 12:44:10.758000+00:00;yurieOwomqoXeqmo;scroll;591
18;2022-01-13 12:44:10.775000+00:00;yurieOwomqoXeqmo;scroll;598
19;2022-01-13 12:44:10.791000+00:00;yurieOwomqoXeqmo;scroll;600
20;2022-01-13 12:44:10.941000+00:00;yurieOwomqoXeqmo;scroll;601
21;2022-01-13 12:44:10.958000+00:00;yurieOwomqoXeqmo;scroll;606
22;2022-01-13 12:44:10.975000+00:00;yurieOwomqoXeqmo;scroll;614
23;2022-01-13 12:44:10.991000+00:00;yurieOwomqoXeqmo;scroll;629
24;2022-01-13 12:44:11.008000+00:00;yurieOwomqoXeqmo;scroll;654
25;2022-01-13 12:44:11.025000+00:00;yurieOwomqoXeqmo;scroll;688
26;2022-01-13 12:44:11.041000+00:00;yurieOwomqoXeqmo;scroll;731
27;2022-01-13 12:44:11.058000+00:00;yurieOwomqoXeqmo;scroll;777
28;2022-01-13 12:44:11.075000+00:00;yurieOwomqoXeqmo;scroll;820
29;2022-01-13 12:44:11.091000+00:00;yurieOwomqoXeqmo;scroll;855
30;2022-01-13 12:44:11.108000+00:00;yurieOwomqoXeqmo;scroll;879
31;2022-01-13 12:44:11.125000+00:00;yurieOwomqoXeqmo;scroll;890
32;2022-01-13 12:44:11.141000+00:00;yurieOwomqoXeqmo;scroll;892
33;2022-01-13 12:44:11.441000+00:00;yurieOwomqoXeqmo;scroll;891
34;2022-01-13 12:44:11.458000+00:00;yurieOwomqoXeqmo;scroll;886
35;2022-01-13 12:44:11.475000+00:00;yurieOwomqoXeqmo;scroll;875
36;2022-01-13 12:44:11.492000+00:00;yurieOwomqoXeqmo;scroll;853
37;2022-01-13 12:44:11.508000+00:00;yurieOwomqoXeqmo;scroll;816
38;2022-01-13 12:44:11.525000+00:00;yurieOwomqoXeqmo;scroll;764
39;2022-01-13 12:44:11.542000+00:00;yurieOwomqoXeqmo;scroll;698
40;2022-01-13 12:44:11.558000+00:00;yurieOwomqoXeqmo;scroll;629
41;2022-01-13 12:44:11.575000+00:00;yurieOwomqoXeqmo;scroll;565
42;2022-01-13 12:44:11.591000+00:00;yurieOwomqoXeqmo;scroll;509
43;2022-01-13 12:44:11.608000+00:00;yurieOwomqoXeqmo;scroll;463
44;2022-01-13 12:44:11.625000+00:00;yurieOwomqoXeqmo;scroll;430
45;2022-01-13 12:44:11.641000+00:00;yurieOwomqoXeqmo;scroll;409
46;2022-01-13 12:44:11.658000+00:00;yurieOwomqoXeqmo;scroll;398
47;2022-01-13 12:44:11.675000+00:00;yurieOwomqoXeqmo;scroll;393
48;2022-01-13 12:44:11.691000+00:00;yurieOwomqoXeqmo;scroll;392
49;2022-01-13 12:44:11.758000+00:00;yurieOwomqoXeqmo;scroll;391
50;2022-01-13 12:44:11.775000+00:00;yurieOwomqoXeqmo;scroll;386
