;time;token;event;position
0;2022-01-20 13:21:47.155000+00:00;zjJcIODegMAv+bB+;scroll;0.0
1;2022-01-20 13:21:48.849000+00:00;zjJcIODegMAv+bB+;scroll;0.800000011920929
2;2022-01-20 13:21:48.856000+00:00;zjJcIODegMAv+bB+;scroll;3.200000047683716
3;2022-01-20 13:21:48.863000+00:00;zjJcIODegMAv+bB+;scroll;6.400000095367432
4;2022-01-20 13:21:48.869000+00:00;zjJcIODegMAv+bB+;scroll;15.199999809265137
5;2022-01-20 13:21:48.876000+00:00;zjJcIODegMAv+bB+;scroll;31.200000762939453
6;2022-01-20 13:21:48.883000+00:00;zjJcIODegMAv+bB+;scroll;54.400001525878906
7;2022-01-20 13:21:48.890000+00:00;zjJcIODegMAv+bB+;scroll;84.80000305175781
8;2022-01-20 13:21:48.897000+00:00;zjJcIODegMAv+bB+;scroll;121.5999984741211
9;2022-01-20 13:21:48.904000+00:00;zjJcIODegMAv+bB+;scroll;164.0
10;2022-01-20 13:21:48.911000+00:00;zjJcIODegMAv+bB+;scroll;212.0
11;2022-01-20 13:21:48.918000+00:00;zjJcIODegMAv+bB+;scroll;264.79998779296875
12;2022-01-20 13:21:48.925000+00:00;zjJcIODegMAv+bB+;scroll;322.3999938964844
13;2022-01-20 13:21:48.932000+00:00;zjJcIODegMAv+bB+;scroll;384.79998779296875
14;2022-01-20 13:21:48.939000+00:00;zjJcIODegMAv+bB+;scroll;449.6000061035156
15;2022-01-20 13:21:48.946000+00:00;zjJcIODegMAv+bB+;scroll;515.2000122070312
16;2022-01-20 13:21:48.953000+00:00;zjJcIODegMAv+bB+;scroll;578.4000244140625
17;2022-01-20 13:21:48.960000+00:00;zjJcIODegMAv+bB+;scroll;636.7999877929688
18;2022-01-20 13:21:48.967000+00:00;zjJcIODegMAv+bB+;scroll;687.2000122070312
19;2022-01-20 13:21:48.974000+00:00;zjJcIODegMAv+bB+;scroll;728.0
20;2022-01-20 13:21:48.981000+00:00;zjJcIODegMAv+bB+;scroll;760.0
21;2022-01-20 13:21:48.988000+00:00;zjJcIODegMAv+bB+;scroll;781.5999755859375
22;2022-01-20 13:21:48.994000+00:00;zjJcIODegMAv+bB+;scroll;795.2000122070312
23;2022-01-20 13:21:49.001000+00:00;zjJcIODegMAv+bB+;scroll;800.0
